names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,51,2024-07-03 17:09:51,0.1,19.0,8.3,50.6,1016.6,15.0,34.0,1.6,32.2,5.0
"Casa De Campo, Madrid, Spain",Madrid,57,2024-07-03 17:09:52,,19.0,2.3,57.1,1016.6,8.0,9.0,,32.2,5.0
"Escuelas Aguirre, Madrid, Spain",Madrid,51,2024-07-03 17:09:52,0.1,19.0,6.0,50.6,1016.6,18.0,34.0,1.6,32.2,5.0
"Sanchinarro, Madrid, Spain",Madrid,46,2024-07-03 17:09:53,,21.2,5.5,,1014.4,17.0,46.0,,32.0,3.2
"Castellana, Madrid, Spain",Madrid,34,2024-07-03 17:09:54,,19.0,8.3,,1016.6,15.0,34.0,,32.2,5.0
"Plaza De Castilla, Madrid, Spain",Madrid,34,2024-07-03 17:09:54,,19.0,8.3,,1016.6,19.0,34.0,,32.2,5.0
"Cuatro Caminos, Madrid, Spain",Madrid,27,2024-07-03 17:09:55,,19.0,18.3,,1016.6,27.0,21.0,,32.2,5.0
"Fernandez Ladreda, Madrid, Spain",Madrid,17,2024-07-03 17:09:56,,18.0,8.7,,1016.0,10.0,17.0,,32.5,1.8
"Plaza Elíptica, Madrid, Spain",Madrid,13,2024-07-03 17:09:56,0.1,18.0,10.1,,1016.0,7.0,13.0,,32.5,1.8
"Mendez Alvaro, Madrid, Spain",Madrid,10,2024-07-03 17:09:57,,20.7,2.8,,1015.8,10.0,9.0,,31.2,4.0
"Media  Red, Madrid, Spain",Madrid,-,2024-07-03 17:09:58,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,38,2024-07-03 17:09:58,,32.8,1.0,38.2,1018.1,7.0,17.0,1.1,29.5,1.0
"algete, Madrid, Spain",Madrid,46,2024-07-03 17:09:59,,23.0,6.0,45.5,1013.8,,38.0,,32.2,3.0
"alcorcón, Madrid, Spain",Madrid,46,2024-07-03 17:10:00,,18.0,2.8,45.9,1016.0,,34.0,,32.5,1.8
"valdemoro, Madrid, Spain",Madrid,46,2024-07-03 17:10:00,,15.5,2.8,46.3,1016.0,,30.0,,33.5,2.0
"torrejon de ardoz, Madrid, Spain",Madrid,46,2024-07-03 17:10:01,,17.5,7.4,46.3,1015.0,12.0,30.0,,32.5,2.5
"villa del prado, Madrid, Spain",Madrid,42,2024-07-03 17:10:02,,18.0,1.0,41.5,1016.0,8.0,21.0,1.1,32.5,1.8
"collado villalba, Madrid, Spain",Madrid,42,2024-07-03 17:10:02,,28.0,4.2,39.0,1014.2,,42.0,0.6,30.0,4.0
"villarejo de salvanes, Madrid, Spain",Madrid,42,2024-07-03 17:10:03,,19.0,2.8,41.5,1019.1,,5.0,,32.5,2.7
"Lezcano, Canarias, Spain",Canarias,33,2024-07-03 17:10:05,0.1,55.1,3.2,33.3,1009.7,20.0,21.0,2.1,26.0,13.8
"Jinamar fase 3, Canarias, Spain",Canarias,32,2024-07-03 17:10:06,0.1,55.1,2.8,31.7,1009.7,14.0,9.0,2.1,26.0,13.8
"San Nicolas, Canarias, Spain",Canarias,32,2024-07-03 17:10:07,0.1,55.1,1.0,32.1,1009.7,10.0,21.0,0.6,26.0,13.8
"La Loma-Telde, Canarias, Spain",Canarias,31,2024-07-03 17:10:08,0.1,55.1,2.8,30.9,1009.7,21.0,17.0,3.1,26.0,13.8
"Nestor Alamo, Canarias, Spain",Canarias,30,2024-07-03 17:10:08,0.1,55.1,6.9,29.3,1009.7,19.0,30.0,0.6,26.0,13.8
"Mercado Central, Canarias, Spain",Canarias,28,2024-07-03 17:10:09,0.1,55.1,5.1,28.1,1009.7,20.0,38.0,0.6,26.0,13.8
"Barcelona (Eixample), Catalunya, Spain",Catalunya,34,2024-07-03 17:10:11,0.1,74.0,8.7,20.8,1012.2,17.0,34.0,0.6,24.2,
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,34,2024-07-03 17:10:12,0.1,75.3,9.6,19.5,1014.9,17.0,34.0,0.6,22.2,0.6
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,34,2024-07-03 17:10:13,0.1,75.3,1.9,23.2,1014.9,17.0,34.0,0.6,22.2,0.6
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,34,2024-07-03 17:10:13,0.1,75.3,2.3,23.6,1014.9,14.0,34.0,1.1,22.2,0.6
"Barcelona, Catalunya, Spain",Catalunya,34,2024-07-03 17:10:14,0.1,75.5,2.3,26.0,1015.0,14.0,34.0,0.6,22.2,1.0
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,34,2024-07-03 17:10:15,0.1,75.3,4.2,23.6,1014.9,20.0,34.0,1.1,22.2,0.6
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,19,2024-07-03 17:10:15,0.1,69.8,8.7,18.7,1013.3,15.0,,4.1,24.5,5.8
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,,2024-07-03 17:10:16,0.1,74.0,4.2,25.0,1012.2,1.0,,,24.2,
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,-,2024-07-03 17:10:17,,71.0,1.9,10.2,1013.9,21.0,,,24.4,4.3
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-03 17:10:19,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,50,2024-07-03 17:10:20,,62.0,3.2,27.3,1019.0,16.0,50.0,17.8,22.0,3.8
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,42,2024-07-03 17:10:20,,62.0,1.9,,1019.0,19.0,42.0,,22.0,3.8
"Basauri, País Vasco, Spain",Pais_Vasco,42,2024-07-03 17:10:21,,45.0,3.2,,1018.5,18.0,42.0,9.7,21.8,8.3
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,40,2024-07-03 17:10:22,,62.0,6.0,33.8,1019.0,40.0,,6.6,22.0,3.8
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,38,2024-07-03 17:10:23,0.1,62.0,3.2,,1019.0,11.0,38.0,2.6,22.0,3.8
"Erandio, País Vasco, Spain",Pais_Vasco,38,2024-07-03 17:10:23,0.1,68.0,6.9,,1019.2,12.0,38.0,3.1,21.4,2.0
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,34,2024-07-03 17:10:24,,62.0,2.3,33.8,1019.0,18.0,,,22.0,3.8
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,34,2024-07-03 17:10:25,0.1,68.0,4.6,,1019.2,28.0,34.0,5.6,21.4,2.0
"Alonsotegi, País Vasco, Spain",Pais_Vasco,10,2024-07-03 17:10:25,,62.0,2.3,,1019.0,10.0,70.0,,22.0,3.8
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-03 17:10:26,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,111,2024-07-03 17:10:28,4.0,29.0,14.2,16.4,1010.2,29.0,111.0,2.6,37.1,2.0
"Principes, Sevilla, Spain",Andalucia,111,2024-07-03 17:10:29,4.0,29.0,10.1,16.4,1010.2,31.0,111.0,3.6,37.1,2.0
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,111,2024-07-03 17:10:30,4.0,29.4,12.4,68.2,1009.6,72.0,111.0,4.1,36.4,0.8
"Santa Clara, Sevilla, Spain",Andalucia,46,2024-07-03 17:10:30,4.0,28.3,8.7,30.4,1009.3,17.0,46.0,1.6,37.4,2.6
"Ranilla, Sevilla, Spain",Andalucia,46,2024-07-03 17:10:31,4.0,28.3,7.4,24.7,1009.3,17.0,46.0,1.6,37.4,2.6
"Bermejales, Sevilla, Spain",Andalucia,46,2024-07-03 17:10:32,4.0,28.3,9.2,30.9,1009.3,24.0,46.0,2.1,37.4,2.6
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,68,2024-07-03 17:10:32,3.7,67.0,4.3,8.2,1028.0,66.0,68.0,0.2,18.5,1.0
"Lope de Vega, Vigo, Galicia, Spain",Galicia,50,2024-07-03 17:10:35,1.4,53.5,7.9,25.6,1013.2,19.0,50.0,1.0,23.5,4.8
"Coia, Vigo, Galicia, Spain",Galicia,50,2024-07-03 17:10:35,1.0,53.5,6.8,30.7,1013.2,22.0,50.0,2.0,23.5,4.8
"Estación 1, Este, Galicia, Spain",Galicia,46,2024-07-03 17:10:36,1.0,53.5,3.8,30.7,1013.2,22.0,46.0,0.6,23.5,4.8
Worcester Summer St,Galicia,34,2024-07-03 17:10:37,2.3,55.5,3.8,33.6,1022.5,10.0,23.0,0.5,24.8,1.0
"Tualatin I-5 Roadway, Oregon, USA",Galicia,33,2024-07-03 17:10:37,4.1,70.0,16.4,5.8,1025.4,,33.0,,13.8,2.4
"Sensor Box 5, Oregon, USA",Galicia,24,2024-07-03 17:10:38,1.0,79.0,3.5,19.6,29.78,,24.0,0.5,13.4,3.5
"Portland, Oregon, USA",Galicia,18,2024-07-03 17:10:39,0.1,80.5,4.1,0.1,1025.0,,18.0,0.5,13.3,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-07-03 17:10:39,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Mairie, PACA, France",Galicia,30,2024-07-03 17:10:40,,49.0,2.2,30.4,1010.0,6.0,7.0,,26.6,9.0
"Avignon Rocade CDG, PACA, France",Galicia,12,2024-07-03 17:10:41,,39.0,2.7,,1009.0,12.0,8.0,,27.0,10.2
"Le Pontet, PACA, France",Galicia,8,2024-07-03 17:10:42,,39.0,1.3,3.0,1009.0,18.0,8.0,,27.0,9.7
"Avignon_semard, PACA, France",Galicia,33,2024-07-03 17:10:42,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,40,2024-07-03 17:10:43,,49.0,6.3,,1012.5,,40.0,,20.5,2.0
"Paris Stade Lenglen, Paris",Galicia,14,2024-07-03 17:10:44,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-07-03 17:10:44,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2024-07-03 17:10:45,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,35,2024-07-03 17:10:47,1.0,85.0,0.7,31.4,1017.1,11.0,35.0,0.6,17.2,7.2
"A Grela (C), Galicia, Spain",Galicia,28,2024-07-03 17:10:48,1.0,85.0,1.9,27.5,1017.1,7.0,18.0,3.0,17.2,7.2
"Riazor, A Coruña, Galicia, Spain",Galicia,27,2024-07-03 17:10:49,1.0,85.0,1.9,27.0,1017.1,7.0,21.0,0.7,17.2,7.2
