names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,27,2024-06-29 10:04:20,0.1,87.2,2.8,26.9,1015.6,6.0,13.0,1.6,15.5,7.6
"Sanchinarro, Madrid, Spain",Madrid,50,2024-06-29 10:04:20,,83.3,2.3,,1013.4,16.0,50.0,,15.7,4.6
"Escuelas Aguirre, Madrid, Spain",Madrid,38,2024-06-29 10:04:20,0.1,80.3,3.7,26.9,1015.7,14.0,38.0,1.6,16.1,3.0
"Cuatro Caminos, Madrid, Spain",Madrid,38,2024-06-29 10:04:20,,80.3,2.3,,1015.7,14.0,38.0,,16.1,3.0
"Plaza De Castilla, Madrid, Spain",Madrid,34,2024-06-29 10:04:20,,80.3,3.7,,1015.7,12.0,34.0,,16.1,3.0
"Casa De Campo, Madrid, Spain",Madrid,29,2024-06-29 10:04:20,,80.3,1.9,28.9,1015.7,5.0,9.0,,16.1,3.0
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-06-29 10:04:20,,86.1,1.9,,1014.3,10.0,25.0,,15.9,9.6
"Plaza Elíptica, Madrid, Spain",Madrid,21,2024-06-29 10:04:20,0.1,87.0,4.2,,1015.0,7.0,21.0,,15.0,7.2
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-29 10:04:20,,87.0,2.8,,1015.0,7.0,21.0,,16.0,6.4
"Castellana, Madrid, Spain",Madrid,13,2024-06-29 10:04:20,,80.3,2.8,,1015.7,6.0,13.0,,16.1,3.0
"Media  Red, Madrid, Spain",Madrid,-,2024-06-29 10:04:20,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,22,2024-06-29 10:04:20,,93.0,1.9,22.0,1015.0,5.0,17.0,0.6,14.3,0.3
"algete, Madrid, Spain",Madrid,34,2024-06-29 10:04:20,,83.2,1.9,26.4,1013.4,,34.0,,16.6,6.2
"alcorcón, Madrid, Spain",Madrid,27,2024-06-29 10:04:20,,87.0,1.9,26.9,1015.0,,21.0,,16.0,6.4
"valdemoro, Madrid, Spain",Madrid,26,2024-06-29 10:04:20,,82.0,1.9,26.0,1014.5,,21.0,,17.0,7.4
"torrejon de ardoz, Madrid, Spain",Madrid,24,2024-06-29 10:04:20,,77.0,3.2,24.4,1014.0,3.0,5.0,,17.0,6.9
"villa del prado, Madrid, Spain",Madrid,24,2024-06-29 10:04:20,,87.0,1.4,24.4,1015.0,7.0,17.0,1.1,16.0,6.4
"collado villalba, Madrid, Spain",Madrid,25,2024-06-29 10:04:20,,94.0,3.2,21.2,1013.1,,25.0,0.6,13.8,0.2
"villarejo de salvanes, Madrid, Spain",Madrid,20,2024-06-29 10:04:20,,82.7,4.2,19.5,1016.6,,9.0,,16.8,7.2
"San Nicolas, Canarias, Spain",Canarias,34,2024-06-29 10:04:20,0.1,76.4,2.3,23.2,1014.7,14.0,34.0,0.6,20.8,7.2
"Nestor Alamo, Canarias, Spain",Canarias,34,2024-06-29 10:04:20,0.1,76.4,6.0,23.2,1014.7,16.0,34.0,0.6,20.8,7.2
"Lezcano, Canarias, Spain",Canarias,30,2024-06-29 10:04:20,0.1,76.4,2.8,24.0,1014.7,16.0,30.0,2.1,20.8,7.2
"Mercado Central, Canarias, Spain",Canarias,23,2024-06-29 10:04:20,0.1,76.4,4.2,22.8,1014.7,17.0,38.0,0.6,20.8,7.2
"La Loma-Telde, Canarias, Spain",Canarias,23,2024-06-29 10:04:20,0.1,76.4,2.8,22.8,1014.7,23.0,13.0,2.6,20.8,7.2
"Jinamar fase 3, Canarias, Spain",Canarias,22,2024-06-29 10:04:20,0.1,76.4,3.2,22.0,1014.7,12.0,5.0,2.1,20.8,7.2
"Barcelona, Catalunya, Spain",Catalunya,35,2024-06-29 10:04:20,0.1,86.5,4.2,35.4,1011.7,11.0,21.0,0.6,20.8,0.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,32,2024-06-29 10:04:20,0.1,87.0,9.2,31.7,1011.8,16.0,21.0,0.6,20.9,0.3
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,32,2024-06-29 10:04:20,0.1,80.7,6.0,32.1,1010.0,14.0,,0.6,23.8,7.0
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,31,2024-06-29 10:04:20,0.1,87.0,7.8,30.5,1011.8,15.0,25.0,0.6,20.9,0.3
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,31,2024-06-29 10:04:20,0.1,87.0,6.0,30.9,1011.8,14.0,21.0,1.1,20.9,0.3
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,31,2024-06-29 10:04:20,0.1,87.0,7.4,30.9,1011.7,19.0,21.0,1.1,20.9,0.3
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,31,2024-06-29 10:04:20,,81.0,3.7,30.9,1010.7,17.0,,,23.3,4.3
"Barcelona (Eixample), Catalunya, Spain",Catalunya,29,2024-06-29 10:04:20,0.1,85.0,11.0,28.9,1009.3,15.0,25.0,1.1,23.3,
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,18,2024-06-29 10:04:20,0.1,85.0,3.2,25.0,1009.3,18.0,,,23.3,
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-29 10:04:20,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,38,2024-06-29 10:04:20,0.1,91.6,4.2,,1014.3,23.0,38.0,0.6,16.6,4.0
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,34,2024-06-29 10:04:20,0.1,100.0,2.8,,1014.0,14.0,34.0,0.6,17.0,4.3
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,34,2024-06-29 10:04:20,,100.0,3.7,24.0,1014.0,16.0,34.0,1.6,17.0,4.3
"Basauri, País Vasco, Spain",Pais_Vasco,34,2024-06-29 10:04:20,,64.6,3.7,,1013.9,17.0,34.0,1.1,16.1,9.0
"Erandio, País Vasco, Spain",Pais_Vasco,30,2024-06-29 10:04:20,0.1,91.6,3.7,,1014.3,12.0,30.0,0.6,16.6,4.0
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,26,2024-06-29 10:04:20,,100.0,2.8,26.4,1014.0,10.0,,2.6,17.0,4.3
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,21,2024-06-29 10:04:20,,100.0,4.6,,1014.0,20.0,21.0,,17.0,4.3
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,20,2024-06-29 10:04:20,,100.0,2.8,19.5,1014.0,13.0,,,17.0,4.3
"Alonsotegi, País Vasco, Spain",Pais_Vasco,13,2024-06-29 10:04:20,,100.0,2.8,,1014.0,13.0,70.0,,17.0,4.3
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-29 10:04:20,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,66,2024-06-29 10:04:20,4.0,81.2,6.0,22.1,1016.1,18.0,66.0,2.1,20.7,4.8
"Principes, Sevilla, Spain",Andalucia,66,2024-06-29 10:04:20,4.0,81.2,1.9,22.1,1016.1,14.0,66.0,3.6,20.7,4.8
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,66,2024-06-29 10:04:20,4.0,81.3,0.5,23.8,1016.2,14.0,66.0,1.1,20.2,4.1
"Ranilla, Sevilla, Spain",Andalucia,28,2024-06-29 10:04:20,4.0,81.0,8.3,26.0,1015.4,11.0,28.0,2.1,20.8,4.5
"Santa Clara, Sevilla, Spain",Andalucia,28,2024-06-29 10:04:20,4.0,81.0,2.3,26.0,1015.4,11.0,28.0,2.1,20.8,4.5
"Bermejales, Sevilla, Spain",Andalucia,28,2024-06-29 10:04:20,4.0,81.0,1.9,25.8,1015.4,13.0,28.0,1.6,20.8,4.5
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,97,2024-06-29 10:04:20,8.2,100.0,11.6,0.2,1028.0,32.0,97.0,1.7,12.4,3.0
"Lope de Vega, Vigo, Galicia, Spain",Galicia,38,2024-06-29 10:04:20,1.0,77.0,4.4,12.0,1012.5,6.0,38.0,0.8,18.6,2.6
"Coia, Vigo, Galicia, Spain",Galicia,38,2024-06-29 10:04:20,1.0,77.0,2.4,16.2,1012.5,7.0,38.0,1.5,18.6,2.6
"Estación 1, Este, Galicia, Spain",Galicia,25,2024-06-29 10:04:20,1.0,77.0,3.2,16.2,1012.5,7.0,25.0,0.6,18.6,2.6
Worcester Summer St,Galicia,28,2024-06-29 10:04:20,1.2,82.8,3.8,28.1,1023.2,8.0,18.0,0.3,15.1,1.8
"Tualatin I-5 Roadway, Oregon, USA",Galicia,17,2024-06-29 10:04:20,1.9,49.0,4.9,16.5,1014.6,,12.0,,19.7,1.6
"Sensor Box 5, Oregon, USA",Galicia,17,2024-06-29 10:04:20,0.9,68.5,2.7,17.3,29.48,,9.0,0.7,18.7,3.5
"Portland, Oregon, USA",Galicia,11,2024-06-29 10:04:20,0.1,68.3,2.7,0.1,1014.5,,11.0,0.6,18.7,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-06-29 10:04:20,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Mairie, PACA, France",Galicia,42,2024-06-29 10:04:20,,92.0,7.9,15.1,1012.5,15.0,42.0,,21.1,0.8
"Le Pontet, PACA, France",Galicia,42,2024-06-29 10:04:20,,88.0,7.5,3.0,1012.0,18.0,42.0,,22.0,1.5
"Avignon Rocade CDG, PACA, France",Galicia,40,2024-06-29 10:04:20,,88.0,13.2,,1012.0,17.0,40.0,,22.0,1.5
"Avignon_semard, PACA, France",Galicia,33,2024-06-29 10:04:20,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,11,2024-06-29 10:04:20,,65.0,4.6,,1016.1,,11.0,,16.1,3.7
"Paris Stade Lenglen, Paris",Galicia,14,2024-06-29 10:04:20,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-06-29 10:04:20,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2024-06-29 10:04:20,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,69,2024-06-29 10:04:20,1.0,86.0,0.5,26.1,1014.2,35.0,69.0,0.6,16.1,4.0
"Parque da Cega, Galicia, Spain",Galicia,34,2024-06-29 10:04:20,1.0,91.0,1.0,20.1,1016.1,17.0,34.0,0.7,15.5,1.0
"Riazor, A Coruña, Galicia, Spain",Galicia,25,2024-06-29 10:04:20,1.0,86.0,2.3,20.1,1014.2,23.0,25.0,0.6,16.1,4.0
"A Grela (C), Galicia, Spain",Galicia,22,2024-06-29 10:04:20,1.0,89.0,2.9,20.1,1014.0,22.0,10.0,2.0,15.5,4.0
"Molí del Sol, València, Valencia, Spain",Com_Valenciana,59,2024-06-29 10:04:20,,59.0,4.2,37.0,1014.9,17.0,59.0,1.6,23.3,7.0
"Quart de Poblet, Valencia, Spain",Com_Valenciana,37,2024-06-29 10:04:20,,58.5,2.8,36.6,1012.0,7.0,25.0,3.1,23.5,6.1
"Politècnic, València, Valencia, Spain",Com_Valenciana,36,2024-06-29 10:04:20,,59.0,2.8,35.8,1014.9,7.0,21.0,2.1,23.3,7.0
"Pista de Silla, València, Valencia, Spain",Com_Valenciana,35,2024-06-29 10:04:20,,60.0,1.9,35.4,,14.0,21.0,1.6,24.5,2.6
"Avd. Francia, València, Valencia, Spain",Com_Valenciana,21,2024-06-29 10:04:20,,62.4,1.9,57.8,1013.9,6.0,21.0,1.6,22.9,7.6
"Santa Clarita-Placerita, Los Angeles",Com_Valenciana,52,2024-06-29 10:04:20,1.2,82.0,6.5,26.4,1012.3,,52.0,,17.2,1.6
"Valence Urbain Centre, France",Com_Valenciana,30,2024-06-29 10:04:20,,88.0,10.0,40.4,1011.2,23.0,30.0,,19.1,0.2
"Valence Sud, France",Com_Valenciana,-,2024-06-29 10:04:20,,88.0,12.1,46.5,1011.2,,,,19.1,0.2
"A7 Valence Est, France",Com_Valenciana,-,2024-06-29 10:04:20,,88.0,9.0,,1011.2,19.0,,,19.1,0.2
"A7 Valence, France",Com_Valenciana,-,2024-06-29 10:04:20,,73.5,,,1024.8,,,,4.9,1.0
"Elda, Valencia, Spain",Com_Valenciana,31,2024-06-29 10:04:20,,50.4,1.9,30.5,1001.0,2.0,9.0,2.1,24.4,3.2
"Viver, Valencia, Spain",Com_Valenciana,22,2024-06-29 10:04:20,,56.0,4.6,22.0,1011.9,3.0,9.0,1.6,23.8,2.2
"Buñol, Valencia, Spain",Com_Valenciana,35,2024-06-29 10:04:20,,62.0,1.9,35.0,1015.9,4.0,13.0,1.6,22.5,11.2
"Burriana, Valencia, Spain",Com_Valenciana,46,2024-06-29 10:04:20,,56.0,9.6,14.7,1011.9,13.0,46.0,1.6,23.8,2.2
"L'Alcora, Valencia, Spain",Com_Valenciana,14,2024-06-29 10:04:20,,56.0,6.0,2.9,1011.9,14.0,9.0,1.6,23.8,2.2
"Benigánim, Valencia, Spain",Com_Valenciana,26,2024-06-29 10:04:20,,58.1,4.6,25.6,1013.0,,,,23.0,4.1
"Benicassim, Valencia, Spain",Com_Valenciana,13,2024-06-29 10:04:20,,56.0,9.2,34.6,1011.9,3.0,13.0,1.6,23.8,2.2
"CEA, Sagunt, Valencia, Spain",Com_Valenciana,42,2024-06-29 10:04:20,,59.3,1.4,41.9,1009.3,3.0,9.0,3.6,23.1,11.0
"Algar de Palància, Valencia, Spain",Com_Valenciana,17,2024-06-29 10:04:20,,56.0,4.2,17.1,1011.9,4.0,13.0,1.6,23.8,2.2
"Rabassa, Alacant, Valencia, Spain",Com_Valenciana,24,2024-06-29 10:04:20,,42.5,2.3,24.0,1013.5,4.0,5.0,1.6,25.0,3.8
"Vinaròs Planta, Valencia, Spain",Com_Valenciana,46,2024-06-29 10:04:20,,89.6,1.9,23.0,1028.4,11.0,46.0,,3.8,0.6
"Tarragona (Bonavista), Catalunya, Spain",Catalunya,30,2024-06-29 10:04:20,,95.2,3.2,13.9,1009.7,17.0,30.0,3.6,20.5,4.3
"Perafort, Catalunya, Spain",Catalunya,21,2024-06-29 10:04:20,,43.1,1.9,12.0,1008.9,10.0,21.0,1.1,28.7,
"Burgos IV, Spain",Castilla_Leon,17,2024-06-29 10:04:20,0.1,93.0,1.0,17.1,1014.5,3.0,5.0,3.6,14.0,3.3
"Burgos I, Spain",Castilla_Leon,45,2024-06-29 10:04:20,0.1,48.5,31.6,16.3,1033.5,45.0,9.0,1.6,9.5,0.7
"Medina de Pomar, Burgos, Spain",Castilla_Leon,23,2024-06-29 10:04:20,,91.6,0.5,22.8,1014.3,6.0,,2.1,16.6,4.0
"Aranda de Duero II, Burgos, Spain",Castilla_Leon,29,2024-06-29 10:04:20,,93.0,1.9,28.5,1014.5,7.0,,0.6,14.0,3.3
"Miranda de Ebro II, Burgos, Spain",Castilla_Leon,27,2024-06-29 10:04:20,,93.0,1.9,26.9,1014.0,10.0,,0.6,15.0,1.5
"Miranda de Ebro I, Burgos, Spain",Castilla_Leon,7,2024-06-29 10:04:20,,78.5,6.0,1.7,1006.0,7.0,,1.6,12.0,1.8
"Limburg-Schiede, Germany",Castilla_Leon,35,2024-06-29 10:04:20,0.1,59.0,19.2,16.9,1017.0,18.0,35.0,0.5,18.0,3.6
"Limburg, Germany",Castilla_Leon,28,2024-06-29 10:04:20,0.1,60.2,19.2,16.9,1018.9,13.0,28.0,0.5,21.9,0.5
"El Atabal, Malaga, Spain",Andalucia,28,2024-06-29 10:04:20,,64.5,7.7,27.7,1018.4,10.0,17.0,4.1,21.6,3.1
"Carranque, Malaga, Spain",Andalucia,26,2024-06-29 10:04:20,,64.5,7.7,23.5,1018.4,15.0,26.0,2.6,21.6,3.1
"Campanillas, Malaga, Spain",Andalucia,25,2024-06-29 10:04:20,,60.0,5.1,25.2,1017.0,15.0,17.0,2.6,21.5,0.5
"Palacio De Congresos, Granada, Spain",Andalucia,37,2024-06-29 10:04:20,,67.2,3.2,31.1,1011.6,16.0,37.0,2.1,18.8,1.0
"Granada-norte, Granada, Spain",Andalucia,25,2024-06-29 10:04:20,,67.2,6.4,25.2,1011.6,14.0,14.0,2.6,18.8,1.0
"Ciudad Deportiva, Armilla, Spain",Andalucia,25,2024-06-29 10:04:20,,67.2,3.2,25.2,1011.6,16.0,38.0,1.6,18.8,1.0
