names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,21,2024-06-30 09:04:45,0.1,86.0,3.2,20.8,1017.1,3.0,5.0,1.6,16.7,3.4
"Plaza De Castilla, Madrid, Spain",Madrid,46,2024-06-30 09:04:45,,82.0,4.2,,1017.3,14.0,46.0,,16.3,1.7
"Escuelas Aguirre, Madrid, Spain",Madrid,42,2024-06-30 09:04:45,0.1,82.0,2.3,20.8,1017.3,13.0,42.0,1.6,16.3,1.7
"Cuatro Caminos, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,82.0,2.3,,1017.3,10.0,25.0,,16.3,1.7
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,0.1,87.0,4.6,,1016.0,9.0,25.0,,16.0,2.0
"Casa De Campo, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,82.0,1.9,24.8,1017.3,8.0,17.0,,16.3,1.7
"Sanchinarro, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,83.5,2.3,,1015.1,9.0,25.0,,16.6,1.7
"Fernandez Ladreda, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,84.5,4.6,,1016.0,9.0,25.0,,16.5,1.8
"Mendez Alvaro, Madrid, Spain",Madrid,21,2024-06-30 09:04:45,,87.8,1.9,,1016.1,10.0,21.0,,16.6,3.4
"Castellana, Madrid, Spain",Madrid,5,2024-06-30 09:04:45,,82.0,3.2,,1017.3,3.0,5.0,,16.3,1.7
"Media  Red, Madrid, Spain",Madrid,-,2024-06-30 09:04:45,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,22,2024-06-30 09:04:45,,91.0,1.9,22.0,1017.5,10.0,21.0,1.1,15.0,0.3
"algete, Madrid, Spain",Madrid,30,2024-06-30 09:04:45,,84.4,2.3,28.5,1015.5,,30.0,,17.2,4.1
"alcorcón, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,87.0,2.3,20.4,1016.0,,25.0,,16.0,2.0
"valdemoro, Madrid, Spain",Madrid,30,2024-06-30 09:04:45,,88.0,1.9,21.2,1016.0,,30.0,,17.0,1.8
"torrejon de ardoz, Madrid, Spain",Madrid,63,2024-06-30 09:04:45,,79.5,2.8,24.0,1016.0,10.0,63.0,,18.0,2.8
"villa del prado, Madrid, Spain",Madrid,22,2024-06-30 09:04:45,,84.5,1.4,22.0,1016.0,8.0,21.0,1.1,16.5,1.8
"collado villalba, Madrid, Spain",Madrid,15,2024-06-30 09:04:45,,86.6,4.6,15.1,1016.0,,5.0,0.6,14.6,0.2
