names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,30,2024-07-01 12:05:34,0.1,50.8,5.5,29.7,1020.9,9.0,17.0,2.1,23.4,4.9
"Escuelas Aguirre, Madrid, Spain",Madrid,50,2024-07-01 12:05:34,0.1,49.2,8.7,15.1,1020.9,19.0,50.0,2.1,23.3,3.7
"Plaza De Castilla, Madrid, Spain",Madrid,42,2024-07-01 12:05:35,,49.2,6.0,,1020.9,16.0,42.0,,23.3,3.7
"Fernandez Ladreda, Madrid, Spain",Madrid,42,2024-07-01 12:05:36,,50.0,16.5,,1020.0,15.0,42.0,,24.0,2.0
"Plaza Elíptica, Madrid, Spain",Madrid,38,2024-07-01 12:05:36,0.1,47.0,13.8,,1020.0,25.0,38.0,,24.5,2.0
"Sanchinarro, Madrid, Spain",Madrid,34,2024-07-01 12:05:37,,50.2,3.7,,1018.4,15.0,34.0,,23.4,4.7
"Mendez Alvaro, Madrid, Spain",Madrid,30,2024-07-01 12:05:38,,50.8,6.4,,1019.5,19.0,30.0,,23.4,4.9
"Casa De Campo, Madrid, Spain",Madrid,30,2024-07-01 12:05:39,,49.2,6.4,29.7,1020.9,10.0,13.0,,23.3,3.7
"Cuatro Caminos, Madrid, Spain",Madrid,21,2024-07-01 12:05:39,,49.2,12.8,,1020.9,10.0,21.0,,23.3,3.7
"Castellana, Madrid, Spain",Madrid,17,2024-07-01 12:05:40,,49.2,5.5,,1020.9,9.0,17.0,,23.3,3.7
"Media  Red, Madrid, Spain",Madrid,-,2024-07-01 12:05:41,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,30,2024-07-01 12:05:41,,56.0,1.0,25.2,1021.4,10.0,30.0,1.1,22.0,2.5
"algete, Madrid, Spain",Madrid,30,2024-07-01 12:05:42,,55.1,1.9,27.3,1018.7,,30.0,,23.2,4.3
"alcorcón, Madrid, Spain",Madrid,63,2024-07-01 12:05:43,,50.0,13.3,16.3,1020.0,,63.0,,24.0,2.0
"valdemoro, Madrid, Spain",Madrid,46,2024-07-01 12:05:43,,50.0,15.6,13.0,1019.0,,46.0,,24.0,3.6
"torrejon de ardoz, Madrid, Spain",Madrid,42,2024-07-01 12:05:44,,47.0,8.3,15.5,1019.0,10.0,42.0,,24.0,3.6
