names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,25,2024-07-03 12:29:07,0.1,28.0,11.9,22.8,1019.8,11.0,25.0,2.1,25.2,1.5
"Plaza Elíptica, Madrid, Spain",Madrid,42,2024-07-03 12:29:08,0.1,26.0,17.9,,1019.0,20.0,42.0,,25.0,1.2
"Fernandez Ladreda, Madrid, Spain",Madrid,38,2024-07-03 12:29:09,,31.0,16.5,,1019.0,25.0,38.0,,23.0,1.5
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-07-03 12:29:09,,28.0,12.8,,1019.8,20.0,34.0,,25.2,1.5
"Plaza De Castilla, Madrid, Spain",Madrid,34,2024-07-03 12:29:10,,28.0,9.2,,1019.8,16.0,34.0,,25.2,1.5
"Casa De Campo, Madrid, Spain",Madrid,30,2024-07-03 12:29:11,,28.0,14.7,26.0,1019.8,18.0,30.0,,25.2,1.5
"Sanchinarro, Madrid, Spain",Madrid,30,2024-07-03 12:29:12,,29.5,4.2,,1017.5,10.0,30.0,,25.5,1.2
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-07-03 12:29:12,,27.8,11.5,,1018.4,21.0,25.0,,24.4,1.1
"Castellana, Madrid, Spain",Madrid,25,2024-07-03 12:29:13,,28.0,11.9,,1019.8,11.0,25.0,,25.2,1.5
"Escuelas Aguirre, Madrid, Spain",Madrid,23,2024-07-03 12:29:14,0.1,28.0,15.1,22.8,1019.8,14.0,13.0,2.1,25.2,1.5
"Media  Red, Madrid, Spain",Madrid,-,2024-07-03 12:29:14,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,30,2024-07-03 12:29:15,,38.6,1.0,30.1,1020.2,5.0,9.0,1.1,24.8,0.3
"algete, Madrid, Spain",Madrid,50,2024-07-03 12:29:16,,39.4,2.8,26.4,1017.7,,50.0,,22.2,1.5
"alcorcón, Madrid, Spain",Madrid,42,2024-07-03 12:29:16,,31.0,24.7,10.2,1019.0,,42.0,,23.0,1.5
"valdemoro, Madrid, Spain",Madrid,63,2024-07-03 12:29:17,,29.0,13.8,16.3,1019.0,,63.0,,23.5,2.3
"torrejon de ardoz, Madrid, Spain",Madrid,50,2024-07-03 12:29:18,,34.0,12.4,15.9,1019.0,15.0,50.0,,22.0,0.7
"villa del prado, Madrid, Spain",Madrid,21,2024-07-03 12:29:19,,48.0,2.3,17.9,1014.7,9.0,21.0,1.1,19.4,1.0
"collado villalba, Madrid, Spain",Madrid,55,2024-07-03 12:29:19,,42.3,20.6,2.5,1017.5,,55.0,0.6,20.3,1.2
"villarejo de salvanes, Madrid, Spain",Madrid,30,2024-07-03 12:29:20,,36.5,6.4,26.9,1022.0,,30.0,,22.5,1.5
"Nestor Alamo, Canarias, Spain",Canarias,38,2024-07-03 12:29:22,0.1,67.4,7.8,27.7,1010.7,22.0,38.0,0.6,21.6,9.7
"San Nicolas, Canarias, Spain",Canarias,34,2024-07-03 12:29:23,0.1,67.4,2.3,28.1,1010.7,18.0,34.0,0.6,21.6,9.7
"Lezcano, Canarias, Spain",Canarias,31,2024-07-03 12:29:24,0.1,67.4,4.2,31.3,1010.7,15.0,25.0,2.1,21.6,9.7
"Jinamar fase 3, Canarias, Spain",Canarias,30,2024-07-03 12:29:24,0.1,67.4,5.1,29.7,1010.7,20.0,9.0,2.1,21.6,9.7
"La Loma-Telde, Canarias, Spain",Canarias,28,2024-07-03 12:29:25,0.1,67.4,4.2,28.1,1010.7,23.0,17.0,3.1,21.6,9.7
"Mercado Central, Canarias, Spain",Canarias,24,2024-07-03 12:29:26,0.1,67.4,8.3,24.4,1010.7,20.0,38.0,0.6,21.6,9.7
"Barcelona (Eixample), Catalunya, Spain",Catalunya,34,2024-07-03 12:29:29,0.1,74.5,11.9,15.1,1013.2,17.0,34.0,0.6,23.6,
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,34,2024-07-03 12:29:29,0.1,66.0,10.6,16.7,1015.7,17.0,34.0,0.6,23.6,2.0
"Barcelona, Catalunya, Spain",Catalunya,24,2024-07-03 12:29:30,0.1,66.0,6.4,24.0,1015.7,15.0,30.0,0.6,23.6,2.0
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,21,2024-07-03 12:29:31,,71.0,2.8,10.2,1014.6,21.0,,,23.0,8.0
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,17,2024-07-03 12:29:31,0.1,66.0,2.8,13.0,1015.7,17.0,30.0,0.6,23.6,2.0
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,16,2024-07-03 12:29:32,0.1,66.0,6.4,15.5,1015.7,14.0,30.0,1.6,23.6,2.0
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,16,2024-07-03 12:29:33,0.1,66.0,6.0,15.5,1015.7,21.0,30.0,1.6,23.6,2.0
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,15,2024-07-03 12:29:33,0.1,69.5,11.9,7.8,1014.2,15.0,,3.6,23.8,7.0
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,-,2024-07-03 12:29:34,0.1,74.5,5.1,25.0,1013.2,12.0,,,23.6,
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-03 12:29:36,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,59,2024-07-03 12:29:37,,62.0,11.5,5.3,1019.0,28.0,59.0,4.6,20.0,1.5
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,57,2024-07-03 12:29:38,0.1,62.0,14.7,,1019.0,23.0,57.0,3.1,20.0,1.5
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,57,2024-07-03 12:29:38,,62.0,11.5,,1019.0,25.0,57.0,,20.0,1.5
"Basauri, País Vasco, Spain",Pais_Vasco,57,2024-07-03 12:29:39,,48.6,11.5,,1019.4,30.0,57.0,4.6,18.8,2.6
"Erandio, País Vasco, Spain",Pais_Vasco,50,2024-07-03 12:29:40,0.1,63.6,11.9,,1019.9,19.0,50.0,2.6,21.6,0.2
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,26,2024-07-03 12:29:41,,62.0,3.7,26.0,1019.0,15.0,,8.7,20.0,1.5
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,24,2024-07-03 12:29:41,0.1,63.6,9.2,,1019.9,24.0,17.0,4.1,21.6,0.2
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,13,2024-07-03 12:29:42,,62.0,4.6,11.0,1019.0,13.0,,,20.0,1.5
"Alonsotegi, País Vasco, Spain",Pais_Vasco,11,2024-07-03 12:29:43,,62.0,2.8,,1019.0,11.0,70.0,,20.0,1.5
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-03 12:29:43,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,63,2024-07-03 12:29:46,4.0,51.2,13.3,14.9,1012.2,28.0,63.0,2.1,29.0,2.4
"Principes, Sevilla, Spain",Andalucia,62,2024-07-03 12:29:46,4.0,51.2,13.3,15.2,1012.2,23.0,62.0,3.6,29.0,2.4
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,62,2024-07-03 12:29:47,4.0,49.7,10.6,19.0,1012.1,23.0,62.0,1.6,28.8,0.7
"Ranilla, Sevilla, Spain",Andalucia,45,2024-07-03 12:29:48,4.0,53.0,6.0,18.7,1011.6,16.0,45.0,2.1,28.2,0.8
"Santa Clara, Sevilla, Spain",Andalucia,45,2024-07-03 12:29:49,4.0,53.0,6.0,18.7,1011.6,16.0,45.0,1.6,28.2,0.8
"Bermejales, Sevilla, Spain",Andalucia,23,2024-07-03 12:29:49,4.0,53.0,18.3,15.1,1011.6,23.0,43.0,2.1,28.2,0.8
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,104,2024-07-03 12:29:50,3.7,93.0,4.3,8.2,1026.0,66.0,104.0,0.2,14.0,1.5
"Estación 1, Este, Galicia, Spain",Galicia,37,2024-07-03 12:29:52,1.2,60.2,15.1,6.4,1014.1,13.0,37.0,1.2,21.0,0.2
"Coia, Vigo, Galicia, Spain",Galicia,26,2024-07-03 12:29:53,3.4,60.2,14.8,8.0,1014.1,26.0,34.0,2.4,21.0,0.2
"Lope de Vega, Vigo, Galicia, Spain",Galicia,19,2024-07-03 12:29:54,1.0,60.2,13.3,8.8,1014.1,19.0,34.0,0.9,21.0,0.2
Worcester Summer St,Galicia,26,2024-07-03 12:29:55,2.3,76.5,23.2,26.4,1022.8,12.0,26.0,0.9,16.9,1.0
"Sensor Box 5, Oregon, USA",Galicia,18,2024-07-03 12:29:55,0.9,82.0,2.5,18.4,29.77,,18.0,0.4,11.9,2.2
"Tualatin I-5 Roadway, Oregon, USA",Galicia,17,2024-07-03 12:29:56,0.9,68.0,7.4,17.1,1024.7,,17.0,,13.3,2.2
"Portland, Oregon, USA",Galicia,15,2024-07-03 12:29:57,0.1,82.5,2.5,0.1,1024.5,,15.0,0.3,12.7,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-07-03 12:29:57,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Rocade CDG, PACA, France",Galicia,32,2024-07-03 12:29:58,,45.5,2.9,,1011.0,18.0,32.0,,24.5,11.0
"Avignon Mairie, PACA, France",Galicia,27,2024-07-03 12:29:59,,60.0,2.0,26.9,1011.4,11.0,20.0,,23.0,9.0
"Le Pontet, PACA, France",Galicia,20,2024-07-03 12:29:59,,47.0,1.4,3.0,1011.0,18.0,20.0,,24.0,11.3
"Avignon_semard, PACA, France",Galicia,33,2024-07-03 12:30:00,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,31,2024-07-03 12:30:01,,69.4,10.8,,1015.0,,31.0,,16.7,2.2
"Paris Stade Lenglen, Paris",Galicia,14,2024-07-03 12:30:01,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-07-03 12:30:02,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2024-07-03 12:30:03,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,30,2024-07-03 12:30:05,1.1,77.7,2.0,22.4,1017.5,10.0,30.0,0.6,17.6,5.2
