names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,50,2024-07-03 09:53:01,0.1,45.0,11.9,16.3,1019.9,15.0,50.0,2.1,20.5,3.0
"Plaza Elíptica, Madrid, Spain",Madrid,61,2024-07-03 09:53:01,0.1,42.0,22.4,,1019.0,25.0,61.0,,20.0,1.5
"Fernandez Ladreda, Madrid, Spain",Madrid,61,2024-07-03 09:53:02,,41.0,22.4,,1019.0,25.0,61.0,,20.5,1.2
"Castellana, Madrid, Spain",Madrid,50,2024-07-03 09:53:03,,38.0,11.9,,1019.9,15.0,50.0,,20.5,2.0
"Cuatro Caminos, Madrid, Spain",Madrid,50,2024-07-03 09:53:03,,38.0,27.0,,1019.9,20.0,50.0,,20.5,2.0
"Mendez Alvaro, Madrid, Spain",Madrid,38,2024-07-03 09:53:04,,45.0,17.0,,1018.6,20.0,38.0,,19.4,3.0
"Sanchinarro, Madrid, Spain",Madrid,38,2024-07-03 09:53:05,,39.3,9.6,,1017.5,15.0,38.0,,20.9,1.6
"Plaza De Castilla, Madrid, Spain",Madrid,30,2024-07-03 09:53:06,,38.0,10.1,,1019.9,12.0,30.0,,20.5,2.0
"Escuelas Aguirre, Madrid, Spain",Madrid,25,2024-07-03 09:53:06,0.1,37.3,17.4,16.3,1020.0,16.0,25.0,2.1,20.7,1.6
"Casa De Campo, Madrid, Spain",Madrid,17,2024-07-03 09:53:07,,38.0,11.9,15.5,1019.9,10.0,17.0,,20.5,2.0
"Media  Red, Madrid, Spain",Madrid,-,2024-07-03 09:53:08,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,30,2024-07-03 09:53:08,,43.0,1.0,30.1,1020.4,5.0,13.0,1.1,21.6,0.3
"algete, Madrid, Spain",Madrid,38,2024-07-03 09:53:09,,48.0,2.8,25.6,1017.7,,38.0,,19.5,2.0
"alcorcón, Madrid, Spain",Madrid,30,2024-07-03 09:53:10,,42.0,17.0,15.9,1019.0,,30.0,,20.0,1.5
"valdemoro, Madrid, Spain",Madrid,53,2024-07-03 09:53:10,,37.0,13.8,16.3,1019.0,,53.0,,21.0,2.5
"torrejon de ardoz, Madrid, Spain",Madrid,42,2024-07-03 09:53:11,,48.0,10.6,17.5,1019.0,16.0,42.0,,18.0,0.5
"villa del prado, Madrid, Spain",Madrid,30,2024-07-03 09:53:12,,42.0,2.8,14.3,1019.0,8.0,30.0,1.1,20.0,1.5
"collado villalba, Madrid, Spain",Madrid,55,2024-07-03 09:53:12,,51.3,20.6,2.5,1017.4,,55.0,0.6,17.7,1.2
"villarejo de salvanes, Madrid, Spain",Madrid,30,2024-07-03 09:53:13,,51.6,5.5,28.1,1022.0,,30.0,,18.8,4.3
"Nestor Alamo, Canarias, Spain",Canarias,38,2024-07-03 09:53:15,0.1,69.4,8.7,25.6,1010.2,26.0,38.0,0.6,20.8,9.7
"Mercado Central, Canarias, Spain",Canarias,38,2024-07-03 09:53:16,0.1,69.4,5.1,25.6,1010.2,18.0,38.0,0.6,20.8,9.7
"San Nicolas, Canarias, Spain",Canarias,30,2024-07-03 09:53:17,0.1,69.4,3.2,25.6,1010.2,12.0,30.0,0.6,20.8,9.7
"Lezcano, Canarias, Spain",Canarias,29,2024-07-03 09:53:18,0.1,69.4,5.1,28.5,1010.2,20.0,25.0,2.1,20.8,9.7
"Jinamar fase 3, Canarias, Spain",Canarias,28,2024-07-03 09:53:18,0.1,69.4,5.1,27.7,1010.2,20.0,9.0,2.1,20.8,9.7
"La Loma-Telde, Canarias, Spain",Canarias,27,2024-07-03 09:53:19,0.1,69.4,2.8,27.3,1010.2,23.0,21.0,3.1,20.8,9.7
"Barcelona, Catalunya, Spain",Catalunya,26,2024-07-03 09:53:21,0.1,87.0,5.1,26.4,1015.8,14.0,30.0,0.6,19.4,1.5
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,20,2024-07-03 09:53:22,,74.6,18.8,14.3,1014.6,20.0,,,23.3,0.6
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,19,2024-07-03 09:53:23,0.1,87.0,18.8,18.7,1015.9,17.0,34.0,0.6,19.4,1.3
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,18,2024-07-03 09:53:23,0.1,87.0,11.9,18.3,1015.9,14.0,30.0,1.1,19.4,1.3
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,18,2024-07-03 09:53:24,0.1,87.0,15.6,18.3,1015.9,18.0,30.0,1.1,19.4,1.3
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,17,2024-07-03 09:53:25,0.1,87.0,12.4,13.5,1015.9,17.0,30.0,0.6,19.4,1.3
"Barcelona (Eixample), Catalunya, Spain",Catalunya,16,2024-07-03 09:53:25,0.1,79.3,19.7,16.3,1012.7,17.0,34.0,0.6,22.9,
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,12,2024-07-03 09:53:26,0.1,74.1,14.7,10.2,1014.0,12.0,,0.6,23.5,2.1
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,,2024-07-03 09:53:27,0.1,80.5,21.5,25.0,1012.8,12.0,,,22.7,
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-03 09:53:29,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,57,2024-07-03 09:53:30,,77.0,13.8,0.9,1020.0,22.0,57.0,3.1,17.5,0.2
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,55,2024-07-03 09:53:30,0.1,77.0,16.0,,1020.0,20.0,55.0,2.1,17.5,0.2
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,50,2024-07-03 09:53:31,,77.0,14.7,,1020.0,20.0,50.0,,17.5,0.2
"Basauri, País Vasco, Spain",Pais_Vasco,50,2024-07-03 09:53:32,,52.7,12.8,,1019.6,21.0,50.0,3.1,16.8,0.7
"Erandio, País Vasco, Spain",Pais_Vasco,38,2024-07-03 09:53:32,0.1,73.0,12.8,,1019.8,13.0,38.0,4.6,19.0,0.2
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,38,2024-07-03 09:53:33,0.1,73.0,15.6,,1019.8,19.0,38.0,2.1,19.0,0.2
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,23,2024-07-03 09:53:34,,77.0,2.8,22.8,1020.0,10.0,,2.6,17.5,0.2
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,13,2024-07-03 09:53:34,,77.0,6.4,6.1,1020.0,13.0,,,17.5,0.2
"Alonsotegi, País Vasco, Spain",Pais_Vasco,10,2024-07-03 09:53:35,,77.0,3.7,,1020.0,10.0,70.0,,17.5,0.2
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-03 09:53:36,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,66,2024-07-03 09:53:38,4.0,67.2,14.2,22.7,1012.3,24.0,66.0,2.1,24.4,1.8
"Principes, Sevilla, Spain",Andalucia,66,2024-07-03 09:53:39,4.0,67.2,6.4,22.7,1012.3,22.0,66.0,3.1,24.4,1.8
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,66,2024-07-03 09:53:39,4.0,64.2,4.2,24.2,1012.2,22.0,66.0,1.1,24.4,0.8
"Ranilla, Sevilla, Spain",Andalucia,43,2024-07-03 09:53:40,4.0,61.0,14.2,21.3,1011.7,16.0,43.0,2.1,25.4,3.2
"Santa Clara, Sevilla, Spain",Andalucia,43,2024-07-03 09:53:41,4.0,61.0,25.6,21.3,1011.7,16.0,43.0,2.1,25.4,3.2
"Bermejales, Sevilla, Spain",Andalucia,43,2024-07-03 09:53:41,4.0,61.0,24.7,19.3,1011.7,22.0,43.0,1.6,25.4,3.2
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,59,2024-07-03 09:53:42,3.7,100.0,4.3,8.2,1027.0,37.0,59.0,0.2,13.9,2.0
"Estación 1, Este, Galicia, Spain",Galicia,46,2024-07-03 09:53:44,1.1,76.3,14.7,4.7,1013.9,18.0,46.0,0.8,16.8,0.5
"Coia, Vigo, Galicia, Spain",Galicia,18,2024-07-03 09:53:45,1.1,76.3,15.9,4.7,1013.9,18.0,34.0,1.8,16.8,0.5
"Lope de Vega, Vigo, Galicia, Spain",Galicia,12,2024-07-03 09:53:46,1.0,76.3,13.5,1.9,1013.9,12.0,34.0,1.0,16.8,0.5
Worcester Summer St,Galicia,30,2024-07-03 09:53:46,2.3,80.0,12.1,29.6,1023.1,12.0,30.0,0.3,17.7,2.0
"Tualatin I-5 Roadway, Oregon, USA",Galicia,24,2024-07-03 09:53:47,1.3,57.0,6.1,20.0,1023.9,,24.0,,16.1,3.0
"Sensor Box 5, Oregon, USA",Galicia,21,2024-07-03 09:53:48,0.8,72.8,1.7,20.9,29.74,,4.0,0.4,14.6,4.2
"Portland, Oregon, USA",Galicia,14,2024-07-03 09:53:48,0.1,75.0,1.7,0.1,1023.8,,14.0,0.3,15.0,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-07-03 09:53:49,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Rocade CDG, PACA, France",Galicia,42,2024-07-03 09:53:50,,61.5,3.2,,1011.0,6.0,42.0,,19.5,7.2
"Avignon Mairie, PACA, France",Galicia,23,2024-07-03 09:53:51,,69.0,2.4,23.3,1011.5,11.0,22.0,,19.4,9.0
"Le Pontet, PACA, France",Galicia,22,2024-07-03 09:53:51,,56.0,2.4,3.0,1011.0,18.0,22.0,,21.0,8.2
"Avignon_semard, PACA, France",Galicia,33,2024-07-03 09:53:52,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,36,2024-07-03 09:53:53,,82.2,13.8,,1015.3,,36.0,,14.4,1.2
"Paris Stade Lenglen, Paris",Galicia,14,2024-07-03 09:53:53,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-07-03 09:53:54,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2024-07-03 09:53:55,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,52,2024-07-03 09:53:57,1.1,82.6,2.8,17.5,1017.6,11.0,52.0,0.6,16.2,2.3
"A Grela (C), Galicia, Spain",Galicia,30,2024-07-03 09:53:58,1.0,85.0,15.1,15.1,1017.3,9.0,30.0,2.9,15.5,1.5
"Parque da Cega, Galicia, Spain",Galicia,20,2024-07-03 09:53:58,1.0,88.0,9.6,11.7,1019.3,9.0,20.0,1.0,15.0,1.0
"Riazor, A Coruña, Galicia, Spain",Galicia,12,2024-07-03 09:53:59,1.0,82.6,3.4,11.7,1017.6,7.0,5.0,0.8,16.2,2.3
"Molí del Sol, València, Valencia, Spain",Com_Valenciana,74,2024-07-03 09:54:01,,69.0,8.3,6.5,1017.3,22.0,74.0,1.6,22.4,2.0
"Quart de Poblet, Valencia, Spain",Com_Valenciana,70,2024-07-03 09:54:02,,57.0,19.2,1.7,1014.0,28.0,70.0,4.6,24.0,1.5
"Pista de Silla, València, Valencia, Spain",Com_Valenciana,55,2024-07-03 09:54:03,,76.3,11.5,5.7,,18.0,55.0,1.6,22.5,0.6
"Avd. Francia, València, Valencia, Spain",Com_Valenciana,46,2024-07-03 09:54:03,,77.2,12.8,7.0,1016.0,11.0,46.0,1.6,21.6,1.2
"Politècnic, València, Valencia, Spain",Com_Valenciana,42,2024-07-03 09:54:04,,69.0,6.0,9.0,1017.3,13.0,42.0,2.6,22.4,2.0
"Santa Clarita-Placerita, Los Angeles",Com_Valenciana,54,2024-07-03 09:54:05,3.4,73.0,17.3,27.2,1011.9,,54.0,,21.1,0.1
"Valence Urbain Centre, France",Com_Valenciana,-,2024-07-03 09:54:05,,63.0,3.7,19.4,1014.8,20.0,5.0,,22.7,6.5
"A7 Valence Est, France",Com_Valenciana,-,2024-07-03 09:54:06,,63.0,8.4,,1014.8,20.0,,,22.7,6.5
"Valence Sud, France",Com_Valenciana,-,2024-07-03 09:54:07,,63.0,3.7,19.6,1014.8,,,,22.7,6.5
"A7 Valence, France",Com_Valenciana,-,2024-07-03 09:54:07,,73.5,,,1024.8,,,,4.9,1.0
"Elda, Valencia, Spain",Com_Valenciana,21,2024-07-03 09:54:08,,75.5,6.4,10.6,1001.6,6.0,21.0,2.1,24.0,2.0
"Viver, Valencia, Spain",Com_Valenciana,27,2024-07-03 09:54:09,,49.5,3.7,26.9,1015.4,11.0,25.0,1.6,25.1,0.1
"Buñol, Valencia, Spain",Com_Valenciana,34,2024-07-03 09:54:09,,63.5,6.9,16.7,1018.0,11.0,34.0,1.6,24.5,1.5
"Burriana, Valencia, Spain",Com_Valenciana,46,2024-07-03 09:54:10,,48.4,8.3,13.9,1015.4,13.0,46.0,3.1,25.4,0.1
"L'Alcora, Valencia, Spain",Com_Valenciana,21,2024-07-03 09:54:11,,49.5,17.4,0.9,1015.4,15.0,21.0,4.1,25.1,0.1
