names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,22,2024-07-02 22:09:16,0.1,36.8,2.8,21.6,1018.9,1.0,9.0,1.6,27.2,7.7
"Sanchinarro, Madrid, Spain",Madrid,34,2024-07-02 22:09:17,,36.7,2.3,,1016.4,11.0,34.0,,26.9,8.0
"Fernandez Ladreda, Madrid, Spain",Madrid,34,2024-07-02 22:09:17,,32.0,11.0,,1018.0,12.0,34.0,,29.0,3.0
"Casa De Campo, Madrid, Spain",Madrid,26,2024-07-02 22:09:18,,34.5,2.3,26.0,1018.8,3.0,5.0,,27.2,7.7
"Escuelas Aguirre, Madrid, Spain",Madrid,22,2024-07-02 22:09:19,0.1,34.5,5.1,21.6,1018.8,3.0,5.0,1.6,27.2,7.7
"Cuatro Caminos, Madrid, Spain",Madrid,13,2024-07-02 22:09:19,,34.5,7.4,,1018.9,7.0,13.0,,27.2,7.7
"Plaza Elíptica, Madrid, Spain",Madrid,13,2024-07-02 22:09:20,0.1,32.0,13.8,,1018.0,9.0,13.0,,28.5,3.6
"Mendez Alvaro, Madrid, Spain",Madrid,9,2024-07-02 22:09:21,,36.8,3.2,,1017.6,7.0,9.0,,27.1,7.3
"Castellana, Madrid, Spain",Madrid,9,2024-07-02 22:09:21,,34.5,2.8,,1018.9,1.0,9.0,,27.2,7.7
"Plaza De Castilla, Madrid, Spain",Madrid,5,2024-07-02 22:09:22,,34.5,4.6,,1018.9,5.0,5.0,,27.2,7.7
"Media  Red, Madrid, Spain",Madrid,-,2024-07-02 22:09:23,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,25,2024-07-02 22:09:23,,43.5,0.5,24.8,1020.6,3.0,5.0,1.1,24.1,1.0
"algete, Madrid, Spain",Madrid,27,2024-07-02 22:09:24,,37.5,1.0,26.9,1016.0,,13.0,,28.2,10.0
"alcorcón, Madrid, Spain",Madrid,38,2024-07-02 22:09:25,,28.0,2.3,37.8,1017.0,,17.0,,30.0,2.5
"valdemoro, Madrid, Spain",Madrid,48,2024-07-02 22:09:26,,26.0,3.7,48.4,1016.5,,17.0,,31.5,4.3
"torrejon de ardoz, Madrid, Spain",Madrid,28,2024-07-02 22:09:26,,30.0,1.4,27.7,1017.0,1.0,5.0,,29.0,6.1
"villa del prado, Madrid, Spain",Madrid,28,2024-07-02 22:09:27,,28.0,0.5,28.1,1017.0,7.0,13.0,1.1,30.0,2.5
"collado villalba, Madrid, Spain",Madrid,46,2024-07-02 22:09:28,,38.7,4.6,21.6,1016.5,,46.0,0.6,26.2,1.2
"villarejo de salvanes, Madrid, Spain",Madrid,32,2024-07-02 22:09:28,,31.6,2.3,31.7,1019.7,,5.0,,30.1,6.2
"Lezcano, Canarias, Spain",Canarias,30,2024-07-02 22:09:31,0.1,58.2,4.6,29.7,1012.8,17.0,21.0,2.1,25.5,13.3
"Jinamar fase 3, Canarias, Spain",Canarias,29,2024-07-02 22:09:31,0.1,58.2,4.2,28.9,1012.8,15.0,9.0,2.1,25.5,13.3
"La Loma-Telde, Canarias, Spain",Canarias,27,2024-07-02 22:09:32,0.1,58.2,5.5,26.9,1012.8,20.0,17.0,2.6,25.5,13.3
"San Nicolas, Canarias, Spain",Canarias,25,2024-07-02 22:09:33,0.1,65.0,1.0,25.2,1010.3,12.0,21.0,0.6,22.3,12.3
"Mercado Central, Canarias, Spain",Canarias,25,2024-07-02 22:09:33,0.1,65.0,4.2,21.2,1010.3,14.0,25.0,0.6,22.3,12.3
"Nestor Alamo, Canarias, Spain",Canarias,24,2024-07-02 22:09:34,0.1,65.0,3.7,24.4,1010.3,11.0,21.0,0.6,22.3,12.3
"Barcelona (Eixample), Catalunya, Spain",Catalunya,34,2024-07-02 22:09:36,0.1,84.0,21.1,23.2,1014.5,16.0,34.0,0.6,22.2,
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,34,2024-07-02 22:09:37,0.1,83.5,11.9,24.0,1017.0,16.0,34.0,0.6,20.5,0.5
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,33,2024-07-02 22:09:38,0.1,83.5,6.9,32.9,1017.0,13.0,25.0,1.1,20.5,0.5
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,33,2024-07-02 22:09:39,0.1,83.6,7.4,32.9,1017.0,23.0,25.0,1.1,20.3,0.3
"Barcelona, Catalunya, Spain",Catalunya,32,2024-07-02 22:09:39,0.1,83.5,9.6,32.1,1017.0,12.0,25.0,0.6,20.5,0.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,29,2024-07-02 22:09:40,0.1,83.5,7.8,28.9,1017.0,15.0,25.0,0.6,20.5,0.5
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,29,2024-07-02 22:09:41,0.1,79.6,3.2,29.3,1016.0,18.0,,,22.2,3.0
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,26,2024-07-02 22:09:41,0.1,78.7,12.8,26.4,1015.4,13.0,,0.6,22.7,4.5
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,-,2024-07-02 22:09:42,0.1,84.0,5.1,25.0,1014.5,12.0,,,22.2,
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,57,2024-07-02 22:09:44,0.1,75.7,4.2,,1022.6,11.0,57.0,1.6,18.3,0.7
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-02 22:09:45,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,28,2024-07-02 22:09:46,,74.5,1.4,28.1,1022.0,7.0,21.0,2.1,19.0,2.5
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,27,2024-07-02 22:09:46,,74.5,6.0,26.9,1022.0,14.0,,3.1,19.0,2.5
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,26,2024-07-02 22:09:47,,74.5,3.7,26.0,1022.0,8.0,,,19.0,2.5
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,25,2024-07-02 22:09:48,0.1,74.5,2.3,,1022.0,9.0,25.0,0.6,19.0,2.5
"Erandio, País Vasco, Spain",Pais_Vasco,25,2024-07-02 22:09:49,0.1,75.7,1.9,,1022.6,8.0,25.0,0.6,18.3,0.7
"Basauri, País Vasco, Spain",Pais_Vasco,21,2024-07-02 22:09:49,,55.5,2.8,,1022.2,8.0,21.0,1.1,18.0,3.7
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,20,2024-07-02 22:09:50,,74.5,1.4,,1022.0,20.0,9.0,,19.0,2.5
"Alonsotegi, País Vasco, Spain",Pais_Vasco,10,2024-07-02 22:09:51,,74.5,3.2,,1022.0,10.0,70.0,,19.0,2.5
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-02 22:09:51,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,58,2024-07-02 22:09:54,4.0,36.5,15.1,40.0,1010.9,21.0,58.0,2.6,34.4,5.0
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,58,2024-07-02 22:09:54,4.0,35.8,1.9,58.0,1009.9,18.0,58.0,1.6,33.6,5.8
"Principes, Sevilla, Spain",Andalucia,58,2024-07-02 22:09:55,4.0,36.5,3.7,38.2,1010.9,20.0,58.0,3.1,34.4,5.0
"Santa Clara, Sevilla, Spain",Andalucia,49,2024-07-02 22:09:56,4.0,35.6,3.7,48.5,1010.0,13.0,40.0,1.6,34.7,5.4
"Bermejales, Sevilla, Spain",Andalucia,49,2024-07-02 22:09:56,4.0,35.6,8.7,48.8,1010.0,18.0,37.0,1.6,34.7,5.4
"Ranilla, Sevilla, Spain",Andalucia,47,2024-07-02 22:09:57,4.0,35.6,6.9,46.6,1010.0,12.0,37.0,1.6,34.7,5.4
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,91,2024-07-02 22:09:58,3.7,49.0,4.3,8.2,1025.0,51.0,91.0,0.2,21.0,6.6
"Estación 1, Este, Galicia, Spain",Galicia,50,2024-07-02 22:10:00,1.1,66.3,6.4,26.0,1014.5,34.0,50.0,1.2,23.3,3.0
"Coia, Vigo, Galicia, Spain",Galicia,34,2024-07-02 22:10:01,1.1,66.3,7.9,26.0,1014.5,34.0,34.0,2.1,23.3,3.0
"Lope de Vega, Vigo, Galicia, Spain",Galicia,24,2024-07-02 22:10:02,1.3,66.3,9.9,24.1,1014.5,17.0,34.0,0.6,23.3,3.0
Worcester Summer St,Galicia,38,2024-07-02 22:10:02,2.3,45.5,4.7,37.6,1022.8,11.0,26.0,0.3,26.8,2.2
"Tualatin I-5 Roadway, Oregon, USA",Galicia,32,2024-07-02 22:10:03,1.7,49.0,6.8,25.2,1023.3,,32.0,,20.1,3.5
"Sensor Box 5, Oregon, USA",Galicia,26,2024-07-02 22:10:04,0.8,64.0,1.1,26.1,29.75,,15.0,0.5,20.0,5.2
"Portland, Oregon, USA",Galicia,18,2024-07-02 22:10:04,0.1,66.3,1.4,0.1,1023.8,,18.0,0.5,19.2,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-07-02 22:10:05,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Rocade CDG, PACA, France",Galicia,51,2024-07-02 22:10:06,,50.5,2.6,,1013.0,20.0,51.0,,21.5,11.3
"Avignon Mairie, PACA, France",Galicia,28,2024-07-02 22:10:06,,63.0,1.5,27.6,1013.6,9.0,23.0,,20.5,7.0
"Le Pontet, PACA, France",Galicia,21,2024-07-02 22:10:07,,49.0,2.4,3.0,1013.0,18.0,21.0,,22.0,10.8
"Avignon_semard, PACA, France",Galicia,33,2024-07-02 22:10:08,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,49,2024-07-02 22:10:09,,64.6,6.1,,1017.7,,49.0,,17.9,4.6
"Paris Stade Lenglen, Paris",Galicia,14,2024-07-02 22:10:09,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-07-02 22:10:10,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2024-07-02 22:10:11,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"A Grela (C), Galicia, Spain",Galicia,38,2024-07-02 22:10:13,1.0,84.0,2.5,22.0,1019.2,12.0,38.0,2.6,16.6,20.0
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,30,2024-07-02 22:10:14,1.0,84.0,0.5,27.3,1019.2,17.0,30.0,0.6,16.6,20.0
"Riazor, A Coruña, Galicia, Spain",Galicia,30,2024-07-02 22:10:14,1.0,84.0,1.9,22.0,1019.2,14.0,30.0,0.6,16.6,20.0
"Parque da Cega, Galicia, Spain",Galicia,22,2024-07-02 22:10:15,1.0,82.0,1.1,22.0,1021.6,9.0,22.0,0.6,17.7,3.5
"Politècnic, València, Valencia, Spain",Com_Valenciana,35,2024-07-02 22:10:17,,79.6,2.8,35.4,1018.0,13.0,34.0,2.1,24.8,2.0
"Avd. Francia, València, Valencia, Spain",Com_Valenciana,31,2024-07-02 22:10:18,,80.3,9.2,31.3,1016.4,5.0,17.0,1.6,24.4,2.3
"Pista de Silla, València, Valencia, Spain",Com_Valenciana,30,2024-07-02 22:10:19,,79.6,16.0,24.8,,20.0,30.0,2.1,25.0,2.3
"Molí del Sol, València, Valencia, Spain",Com_Valenciana,29,2024-07-02 22:10:20,,79.6,8.3,28.5,1018.0,9.0,34.0,1.6,24.8,2.0
"Quart de Poblet, Valencia, Spain",Com_Valenciana,29,2024-07-02 22:10:20,,73.0,6.9,29.3,1015.0,13.0,34.0,2.6,25.0,2.5
"Santa Clarita-Placerita, Los Angeles",Com_Valenciana,44,2024-07-02 22:10:21,3.4,40.0,15.4,39.2,1011.6,,44.0,,34.4,3.0
"Valence Urbain Centre, France",Com_Valenciana,-,2024-07-02 22:10:22,,63.0,3.7,19.4,1014.8,20.0,5.0,,22.7,6.5
"A7 Valence Est, France",Com_Valenciana,-,2024-07-02 22:10:22,,63.0,8.4,,1014.8,20.0,,,22.7,6.5
"Valence Sud, France",Com_Valenciana,-,2024-07-02 22:10:23,,63.0,3.7,19.6,1014.8,,,,22.7,6.5
"A7 Valence, France",Com_Valenciana,-,2024-07-02 22:10:24,,73.5,,,1024.8,,,,4.9,1.0
"Elda, Valencia, Spain",Com_Valenciana,45,2024-07-02 22:10:25,,67.3,1.9,44.7,1002.1,2.0,9.0,2.1,25.0,2.3
"Viver, Valencia, Spain",Com_Valenciana,34,2024-07-02 22:10:25,,75.0,4.2,34.2,1016.1,5.0,13.0,1.6,23.7,1.6
"Buñol, Valencia, Spain",Com_Valenciana,42,2024-07-02 22:10:26,,78.0,1.9,41.5,1018.0,4.0,13.0,1.6,24.0,2.6
"Burriana, Valencia, Spain",Com_Valenciana,38,2024-07-02 22:10:27,,75.0,1.9,29.7,1016.1,10.0,38.0,1.6,23.7,1.6
"L'Alcora, Valencia, Spain",Com_Valenciana,27,2024-07-02 22:10:27,,75.0,1.9,27.3,1016.1,6.0,13.0,1.6,23.7,1.6
"Benigánim, Valencia, Spain",Com_Valenciana,46,2024-07-02 22:10:28,,67.6,1.4,46.3,1013.9,11.0,25.0,1.6,26.8,3.0
"Benicassim, Valencia, Spain",Com_Valenciana,28,2024-07-02 22:10:29,,62.4,2.8,27.7,1013.4,3.0,9.0,1.6,24.1,0.8
"CEA, Sagunt, Valencia, Spain",Com_Valenciana,29,2024-07-02 22:10:29,,80.5,1.9,29.3,1012.8,4.0,9.0,2.6,24.4,2.5
"Algar de Palància, Valencia, Spain",Com_Valenciana,31,2024-07-02 22:10:30,,66.2,3.2,30.9,1015.9,9.0,9.0,1.6,25.1,2.2
