names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,26,2024-07-03 13:32:10,0.1,29.2,17.0,25.6,1019.2,11.0,17.0,2.1,26.8,3.2
"Plaza Elíptica, Madrid, Spain",Madrid,42,2024-07-03 13:32:10,0.1,24.0,17.9,,1018.5,19.0,42.0,,27.0,1.2
"Fernandez Ladreda, Madrid, Spain",Madrid,42,2024-07-03 13:32:11,,24.0,19.7,,1018.5,20.0,42.0,,27.0,1.2
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-07-03 13:32:12,,27.0,18.3,,1019.2,20.0,34.0,,26.8,3.2
"Casa De Campo, Madrid, Spain",Madrid,33,2024-07-03 13:32:12,,27.0,11.5,32.5,1019.2,15.0,13.0,,26.8,3.2
"Sanchinarro, Madrid, Spain",Madrid,30,2024-07-03 13:32:13,,29.0,7.8,,1017.0,11.0,30.0,,26.6,2.0
"Escuelas Aguirre, Madrid, Spain",Madrid,26,2024-07-03 13:32:14,0.1,27.0,15.6,25.6,1019.2,6.0,5.0,2.1,26.8,3.2
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-07-03 13:32:14,,29.2,11.9,,1018.0,20.0,25.0,,26.0,2.0
"Castellana, Madrid, Spain",Madrid,17,2024-07-03 13:32:15,,27.0,17.0,,1019.2,11.0,17.0,,26.8,3.2
"Plaza De Castilla, Madrid, Spain",Madrid,17,2024-07-03 13:32:16,,27.0,16.5,,1019.2,13.0,17.0,,26.8,3.2
"Media  Red, Madrid, Spain",Madrid,-,2024-07-03 13:32:17,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,29,2024-07-03 13:32:17,,37.6,1.0,28.5,1019.5,7.0,5.0,0.6,27.4,0.2
"algete, Madrid, Spain",Madrid,34,2024-07-03 13:32:18,,31.4,3.2,26.4,1016.6,,34.0,,26.7,2.7
"alcorcón, Madrid, Spain",Madrid,55,2024-07-03 13:32:19,,24.0,13.8,20.8,1018.5,,55.0,,27.0,1.2
"valdemoro, Madrid, Spain",Madrid,55,2024-07-03 13:32:19,,17.0,4.2,32.9,1018.0,,55.0,,30.0,1.0
"torrejon de ardoz, Madrid, Spain",Madrid,46,2024-07-03 13:32:20,,21.0,11.5,24.0,1017.0,15.0,46.0,,28.0,2.0
"villa del prado, Madrid, Spain",Madrid,34,2024-07-03 13:32:21,,29.0,1.9,34.2,1013.4,8.0,13.0,1.1,27.2,1.0
