names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,28,2024-06-30 12:59:58,0.1,64.5,3.7,28.1,1018.3,2.0,5.0,1.6,20.4,5.3
"Fernandez Ladreda, Madrid, Spain",Madrid,57,2024-06-30 12:59:58,,60.0,5.5,,1017.0,18.0,57.0,,21.0,2.5
"Casa De Campo, Madrid, Spain",Madrid,33,2024-06-30 12:59:58,,63.3,1.4,32.5,1018.3,5.0,5.0,,20.1,2.3
"Escuelas Aguirre, Madrid, Spain",Madrid,28,2024-06-30 12:59:58,0.1,63.3,2.3,28.1,1018.3,11.0,13.0,1.6,20.1,2.3
"Cuatro Caminos, Madrid, Spain",Madrid,21,2024-06-30 12:59:58,,63.3,2.8,,1018.3,10.0,21.0,,20.1,2.3
"Plaza De Castilla, Madrid, Spain",Madrid,21,2024-06-30 12:59:58,,63.3,6.9,,1018.3,10.0,21.0,,20.1,2.3
"Sanchinarro, Madrid, Spain",Madrid,17,2024-06-30 12:59:58,,65.6,3.2,,1015.9,6.0,17.0,,20.0,3.6
"Plaza Elíptica, Madrid, Spain",Madrid,13,2024-06-30 12:59:58,0.1,60.0,4.2,,1017.0,5.0,13.0,,21.0,2.0
"Mendez Alvaro, Madrid, Spain",Madrid,9,2024-06-30 12:59:58,,64.5,1.4,,1016.9,8.0,9.0,,20.4,5.3
"Castellana, Madrid, Spain",Madrid,5,2024-06-30 12:59:58,,63.3,3.7,,1018.3,2.0,5.0,,20.1,2.3
"Media  Red, Madrid, Spain",Madrid,-,2024-06-30 12:59:58,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,29,2024-06-30 12:59:58,,77.2,1.4,28.5,1018.4,10.0,17.0,1.1,18.3,1.0
"algete, Madrid, Spain",Madrid,34,2024-06-30 12:59:58,,65.5,5.5,26.4,1016.2,,34.0,,21.1,3.8
"alcorcón, Madrid, Spain",Madrid,34,2024-06-30 12:59:58,,60.0,1.9,25.2,1017.0,,34.0,,21.0,2.0
"valdemoro, Madrid, Spain",Madrid,29,2024-06-30 12:59:58,,60.0,1.4,28.5,1017.0,,25.0,,22.0,3.6
"torrejon de ardoz, Madrid, Spain",Madrid,34,2024-06-30 12:59:58,,58.0,2.3,28.1,1017.0,10.0,34.0,,21.5,3.3
"villa del prado, Madrid, Spain",Madrid,21,2024-06-30 12:59:58,,60.0,1.0,21.2,1017.0,6.0,17.0,1.1,21.0,2.5
"collado villalba, Madrid, Spain",Madrid,80,2024-06-30 12:59:58,,73.5,2.8,21.2,1016.8,,80.0,0.6,17.7,0.2
"villarejo de salvanes, Madrid, Spain",Madrid,26,2024-06-30 12:59:58,,62.0,1.9,25.6,1019.5,,17.0,,22.4,3.6
"Mercado Central, Canarias, Spain",Canarias,38,2024-06-30 12:59:58,0.1,62.6,2.3,32.1,1013.8,19.0,38.0,0.6,22.8,11.8
"Lezcano, Canarias, Spain",Canarias,37,2024-06-30 12:59:58,0.1,62.6,2.8,37.0,1013.8,19.0,17.0,2.1,22.8,11.8
"Jinamar fase 3, Canarias, Spain",Canarias,36,2024-06-30 12:59:58,0.1,62.6,2.8,35.8,1013.8,16.0,13.0,2.1,22.8,11.8
"San Nicolas, Canarias, Spain",Canarias,35,2024-06-30 12:59:58,0.1,62.6,1.0,35.0,1013.8,12.0,30.0,0.6,22.8,11.8
"Nestor Alamo, Canarias, Spain",Canarias,35,2024-06-30 12:59:58,0.1,62.6,4.6,34.6,1013.8,17.0,30.0,0.6,22.8,11.8
"La Loma-Telde, Canarias, Spain",Canarias,35,2024-06-30 12:59:58,0.1,62.6,2.8,35.0,1013.8,25.0,17.0,2.6,22.8,11.8
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,27,2024-06-30 12:59:58,0.1,84.0,1.9,27.3,1018.1,10.0,21.0,1.1,20.0,0.5
"Barcelona, Catalunya, Spain",Catalunya,27,2024-06-30 12:59:58,0.1,84.0,1.4,27.3,1018.1,11.0,21.0,0.6,20.0,0.5
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,27,2024-06-30 12:59:58,0.1,84.0,4.2,27.3,1018.1,19.0,21.0,1.1,20.0,0.5
"Barcelona (Eixample), Catalunya, Spain",Catalunya,26,2024-06-30 12:59:58,0.1,81.3,4.2,25.6,1015.4,14.0,25.0,1.1,22.7,
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,26,2024-06-30 12:59:58,0.1,84.0,2.8,25.6,1018.1,14.0,25.0,0.6,20.0,0.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,26,2024-06-30 12:59:58,0.1,84.0,2.8,26.4,1018.1,14.0,21.0,0.6,20.0,0.6
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,25,2024-06-30 12:59:58,,76.6,1.4,24.8,1017.1,16.0,,,22.9,3.6
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,16,2024-06-30 12:59:58,0.1,81.3,1.9,25.0,1015.4,16.0,,,22.7,
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,15,2024-06-30 12:59:58,0.1,76.6,2.8,15.1,1016.4,10.0,,1.1,23.2,6.6
"Erandio, País Vasco, Spain",Pais_Vasco,55,2024-06-30 12:59:58,0.1,78.5,8.7,,1017.7,19.0,55.0,0.6,20.0,0.2
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-30 12:59:58,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,46,2024-06-30 12:59:58,0.1,70.0,9.6,,1017.0,15.0,46.0,1.6,20.0,1.0
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,38,2024-06-30 12:59:58,,70.0,4.6,19.5,1017.0,12.0,38.0,1.6,20.0,1.0
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,38,2024-06-30 12:59:58,,70.0,6.0,,1017.0,13.0,38.0,,20.0,1.0
"Basauri, País Vasco, Spain",Pais_Vasco,34,2024-06-30 12:59:58,,52.2,4.6,,1017.1,13.0,34.0,1.1,19.8,2.0
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,25,2024-06-30 12:59:58,0.1,78.5,9.6,,1017.7,22.0,25.0,0.6,20.0,0.2
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,15,2024-06-30 12:59:58,,70.0,6.9,14.7,1017.0,8.0,,4.6,20.0,1.0
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,11,2024-06-30 12:59:58,,70.0,6.4,11.0,1017.0,6.0,,,20.0,1.0
"Alonsotegi, País Vasco, Spain",Pais_Vasco,7,2024-06-30 12:59:58,,70.0,4.2,,1017.0,7.0,70.0,,20.0,1.0
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-30 12:59:58,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,33,2024-06-30 12:59:58,4.0,67.7,5.1,11.2,1014.7,13.0,33.0,2.1,23.7,1.2
"Principes, Sevilla, Spain",Andalucia,32,2024-06-30 12:59:58,4.0,67.7,3.2,10.4,1014.7,11.0,32.0,3.1,23.7,1.2
"Bermejales, Sevilla, Spain",Andalucia,32,2024-06-30 12:59:58,4.0,66.2,4.2,11.9,1014.0,8.0,32.0,1.6,24.2,2.2
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,32,2024-06-30 12:59:58,4.0,68.0,1.9,10.0,1014.9,12.0,32.0,1.6,23.3,1.2
"Ranilla, Sevilla, Spain",Andalucia,19,2024-06-30 12:59:58,4.0,66.2,6.4,12.3,1014.0,6.0,19.0,2.1,24.2,2.2
"Santa Clara, Sevilla, Spain",Andalucia,19,2024-06-30 12:59:58,4.0,66.2,2.8,12.3,1014.0,6.0,19.0,2.1,24.2,2.2
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,72,2024-06-30 12:59:58,4.6,100.0,9.2,0.8,1027.0,52.0,72.0,0.2,13.1,1.5
"Coia, Vigo, Galicia, Spain",Galicia,50,2024-06-30 12:59:58,1.0,92.8,2.1,18.6,1013.6,5.0,50.0,1.3,17.6,1.6
"Estación 1, Este, Galicia, Spain",Galicia,23,2024-06-30 12:59:58,1.0,92.8,2.2,18.6,1013.6,5.0,23.0,0.6,17.6,1.6
"Lope de Vega, Vigo, Galicia, Spain",Galicia,22,2024-06-30 12:59:58,1.0,92.8,3.5,12.0,1013.6,6.0,22.0,0.7,17.6,1.6
Worcester Summer St,Galicia,25,2024-06-30 12:59:58,2.3,97.0,1.0,24.8,1012.8,10.0,23.0,0.3,22.7,3.5
"Sensor Box 5, Oregon, USA",Galicia,30,2024-06-30 12:59:58,0.7,84.0,3.1,8.4,29.58,,30.0,0.7,18.0,2.3
"Portland, Oregon, USA",Galicia,18,2024-06-30 12:59:58,0.1,84.3,3.1,0.1,1018.3,,18.0,0.6,18.3,
"Tualatin I-5 Roadway, Oregon, USA",Galicia,17,2024-06-30 12:59:58,0.6,81.0,3.0,5.3,1018.4,,17.0,,17.7,1.5
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-06-30 12:59:58,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Mairie, PACA, France",Galicia,32,2024-06-30 12:59:58,,63.0,3.0,32.0,1014.2,7.0,13.0,,26.4,3.0
