names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,38,2024-07-01 22:44:50,0.1,44.0,3.2,33.3,1022.0,10.0,38.0,1.6,25.0,9.0
"Fernandez Ladreda, Madrid, Spain",Madrid,50,2024-07-01 22:44:51,,34.0,19.2,,1021.0,20.0,50.0,,26.0,3.6
"Casa De Campo, Madrid, Spain",Madrid,39,2024-07-01 22:44:52,,39.0,2.3,39.0,1022.0,7.0,13.0,,25.0,8.0
"Castellana, Madrid, Spain",Madrid,38,2024-07-01 22:44:52,,39.0,3.2,,1022.0,10.0,38.0,,25.0,8.0
"Sanchinarro, Madrid, Spain",Madrid,34,2024-07-01 22:44:53,,41.0,3.2,,1019.5,11.0,34.0,,24.4,7.0
"Escuelas Aguirre, Madrid, Spain",Madrid,33,2024-07-01 22:44:54,0.1,40.5,5.1,33.3,1022.0,11.0,25.0,1.6,24.7,7.5
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-07-01 22:44:54,0.1,27.0,16.5,,1020.0,13.0,25.0,,27.5,3.0
"Mendez Alvaro, Madrid, Spain",Madrid,21,2024-07-01 22:44:55,,44.3,4.2,,1020.6,9.0,21.0,,24.4,8.0
"Cuatro Caminos, Madrid, Spain",Madrid,17,2024-07-01 22:44:56,,39.0,9.6,,1022.0,10.0,17.0,,25.0,8.0
"Plaza De Castilla, Madrid, Spain",Madrid,4,2024-07-01 22:44:56,,39.0,4.6,,1022.0,4.0,5.0,,25.0,8.0
"Media  Red, Madrid, Spain",Madrid,-,2024-07-01 22:44:57,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,35,2024-07-01 22:44:58,,61.5,0.5,34.6,1023.7,5.0,25.0,1.1,19.1,0.3
"algete, Madrid, Spain",Madrid,42,2024-07-01 22:44:58,,50.6,1.0,41.9,1019.4,,21.0,,23.5,13.0
"alcorcón, Madrid, Spain",Madrid,38,2024-07-01 22:44:59,,34.0,6.9,38.2,1021.0,,17.0,,26.0,3.6
"valdemoro, Madrid, Spain",Madrid,49,2024-07-01 22:45:00,,30.0,2.8,49.2,1020.0,,38.0,,27.0,5.6
"torrejon de ardoz, Madrid, Spain",Madrid,41,2024-07-01 22:45:01,,41.0,2.3,40.7,1020.0,4.0,9.0,,25.0,6.6
"villa del prado, Madrid, Spain",Madrid,44,2024-07-01 22:45:01,,34.0,0.5,43.5,1021.0,9.0,13.0,1.1,26.0,3.6
"collado villalba, Madrid, Spain",Madrid,61,2024-07-01 22:45:02,,49.0,6.4,33.3,1020.3,,61.0,0.6,21.6,1.0
"villarejo de salvanes, Madrid, Spain",Madrid,39,2024-07-01 22:45:03,,40.0,2.8,38.6,1023.2,,9.0,,25.5,7.0
"Mercado Central, Canarias, Spain",Canarias,21,2024-07-01 22:45:05,0.1,74.2,4.6,12.6,1013.0,11.0,21.0,0.6,21.7,11.8
"La Loma-Telde, Canarias, Spain",Canarias,19,2024-07-01 22:45:06,0.1,74.2,2.8,17.1,1013.0,19.0,5.0,2.6,21.7,11.8
"Lezcano, Canarias, Spain",Canarias,17,2024-07-01 22:45:07,0.1,74.2,4.2,15.9,1013.0,11.0,17.0,2.1,21.7,11.8
"Jinamar fase 3, Canarias, Spain",Canarias,15,2024-07-01 22:45:07,0.1,74.2,3.7,14.7,1013.0,10.0,5.0,2.1,21.7,11.8
"San Nicolas, Canarias, Spain",Canarias,14,2024-07-01 22:45:08,0.1,74.2,3.7,13.5,1013.0,7.0,13.0,0.6,21.7,11.8
