names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,34,2024-06-27 09:34:27,0.1,54.3,9.6,19.5,1015.1,11.0,34.0,1.6,21.6,2.1
"Plaza Elíptica, Madrid, Spain",Madrid,63,2024-06-27 09:34:27,0.1,49.0,27.9,,1014.0,25.0,63.0,,22.0,0.5
"Fernandez Ladreda, Madrid, Spain",Madrid,63,2024-06-27 09:34:27,,49.0,27.9,,1014.0,25.0,63.0,,22.0,0.5
"Plaza De Castilla, Madrid, Spain",Madrid,42,2024-06-27 09:34:27,,52.6,10.6,,1015.4,18.0,42.0,,22.0,1.0
"Sanchinarro, Madrid, Spain",Madrid,38,2024-06-27 09:34:27,,59.0,7.4,,1013.1,14.0,38.0,,21.6,0.6
"Castellana, Madrid, Spain",Madrid,34,2024-06-27 09:34:27,,52.6,9.6,,1015.4,11.0,34.0,,22.0,1.0
"Cuatro Caminos, Madrid, Spain",Madrid,30,2024-06-27 09:34:27,,52.6,9.2,,1015.4,13.0,30.0,,22.0,1.0
"Casa De Campo, Madrid, Spain",Madrid,30,2024-06-27 09:34:27,,52.6,7.8,20.4,1015.4,13.0,30.0,,22.0,1.0
"Escuelas Aguirre, Madrid, Spain",Madrid,21,2024-06-27 09:34:27,0.1,52.6,13.3,19.5,1015.4,14.0,21.0,1.6,22.0,1.0
"Mendez Alvaro, Madrid, Spain",Madrid,16,2024-06-27 09:34:27,,45.0,10.6,,1014.3,16.0,30.0,,22.1,1.8
"Media  Red, Madrid, Spain",Madrid,-,2024-06-27 09:34:27,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,34,2024-06-27 09:34:27,,71.7,1.4,27.3,1016.2,16.0,34.0,1.1,19.0,1.6
"algete, Madrid, Spain",Madrid,42,2024-06-27 09:34:27,,60.1,2.3,32.1,1012.5,,42.0,,21.9,0.5
"alcorcón, Madrid, Spain",Madrid,53,2024-06-27 09:34:27,,47.5,14.7,18.7,1014.0,,53.0,,22.0,1.2
"valdemoro, Madrid, Spain",Madrid,30,2024-06-27 09:34:27,,47.5,13.3,23.2,1014.0,,30.0,,22.0,1.5
"torrejon de ardoz, Madrid, Spain",Madrid,50,2024-06-27 09:34:27,,54.5,8.3,19.5,1014.0,17.0,50.0,,21.5,2.5
