names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,43,2024-07-02 13:02:32,0.1,30.3,6.0,42.7,1019.3,8.0,25.0,1.6,30.0,3.0
"Escuelas Aguirre, Madrid, Spain",Madrid,68,2024-07-02 13:02:32,0.1,29.0,3.7,42.7,1019.3,25.0,68.0,1.6,29.6,2.3
"Casa De Campo, Madrid, Spain",Madrid,41,2024-07-02 13:02:32,,29.0,1.4,40.7,1019.3,10.0,30.0,,29.6,2.3
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-07-02 13:02:32,,29.0,7.4,,1019.3,12.0,34.0,,29.6,2.3
"Mendez Alvaro, Madrid, Spain",Madrid,30,2024-07-02 13:02:32,,30.3,2.3,,1018.1,10.0,30.0,,30.0,3.0
"Castellana, Madrid, Spain",Madrid,25,2024-07-02 13:02:32,,29.0,6.0,,1019.3,8.0,25.0,,29.6,2.3
"Plaza De Castilla, Madrid, Spain",Madrid,17,2024-07-02 13:02:32,,29.0,7.8,,1019.3,11.0,17.0,,29.6,2.3
"Fernandez Ladreda, Madrid, Spain",Madrid,13,2024-07-02 13:02:32,,27.0,8.7,,1019.0,6.0,13.0,,31.0,2.0
"Sanchinarro, Madrid, Spain",Madrid,9,2024-07-02 13:02:32,,29.6,2.3,,1016.9,4.0,9.0,,30.0,2.0
"Plaza Elíptica, Madrid, Spain",Madrid,5,2024-07-02 13:02:32,0.1,27.5,9.2,,1018.5,2.0,5.0,,30.5,2.0
"Media  Red, Madrid, Spain",Madrid,-,2024-07-02 13:02:32,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,26,2024-07-02 13:02:32,,44.0,0.5,26.0,1022.0,4.0,25.0,1.1,25.8,2.0
"algete, Madrid, Spain",Madrid,31,2024-07-02 13:02:32,,36.8,1.0,30.9,1018.1,,13.0,,28.3,4.5
"alcorcón, Madrid, Spain",Madrid,33,2024-07-02 13:02:32,,30.0,6.0,32.9,1020.0,,25.0,,29.0,2.5
"valdemoro, Madrid, Spain",Madrid,34,2024-07-02 13:02:32,,27.0,2.8,33.8,1020.0,,9.0,,30.0,2.5
"torrejon de ardoz, Madrid, Spain",Madrid,29,2024-07-02 13:02:32,,28.0,1.4,28.9,1019.0,13.0,5.0,,29.0,2.0
"villa del prado, Madrid, Spain",Madrid,33,2024-07-02 13:02:32,,30.0,1.0,32.9,1020.0,8.0,9.0,1.1,29.0,2.5
"collado villalba, Madrid, Spain",Madrid,28,2024-07-02 13:02:32,,40.3,3.2,28.1,1018.6,,9.0,0.6,27.0,0.2
"villarejo de salvanes, Madrid, Spain",Madrid,27,2024-07-02 13:02:32,,32.3,2.8,26.9,1022.5,,5.0,,29.2,2.6
"Mercado Central, Canarias, Spain",Canarias,34,2024-07-02 13:02:32,0.1,59.2,6.0,24.8,1012.4,21.0,34.0,0.6,24.7,12.8
"Nestor Alamo, Canarias, Spain",Canarias,30,2024-07-02 13:02:32,0.1,59.2,4.6,27.7,1012.4,19.0,30.0,0.6,24.7,12.8
