names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,30,2024-06-29 13:01:12,0.1,81.6,3.7,26.4,1016.5,10.0,30.0,1.6,18.7,9.1
"Plaza De Castilla, Madrid, Spain",Madrid,38,2024-06-29 13:01:12,,73.6,5.5,,1016.5,13.0,38.0,,18.7,4.6
"Castellana, Madrid, Spain",Madrid,30,2024-06-29 13:01:12,,73.6,3.7,,1016.5,10.0,30.0,,18.7,4.6
"Plaza Elíptica, Madrid, Spain",Madrid,30,2024-06-29 13:01:12,0.1,72.0,4.6,,1016.0,10.0,30.0,,19.0,5.1
"Escuelas Aguirre, Madrid, Spain",Madrid,26,2024-06-29 13:01:12,0.1,73.6,5.1,26.4,1016.5,10.0,17.0,1.6,18.7,4.6
"Cuatro Caminos, Madrid, Spain",Madrid,25,2024-06-29 13:01:12,,73.6,2.8,,1016.5,10.0,25.0,,18.7,4.6
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-29 13:01:12,,82.0,4.2,,1015.0,7.0,21.0,,17.0,6.1
"Casa De Campo, Madrid, Spain",Madrid,17,2024-06-29 13:01:12,,73.6,1.4,31.7,1016.5,7.0,17.0,,18.7,4.6
"Mendez Alvaro, Madrid, Spain",Madrid,13,2024-06-29 13:01:12,,81.6,2.3,,1015.3,8.0,13.0,,17.8,9.1
"Sanchinarro, Madrid, Spain",Madrid,9,2024-06-29 13:01:12,,74.3,3.2,,1014.2,5.0,9.0,,18.8,6.0
"Media  Red, Madrid, Spain",Madrid,-,2024-06-29 13:01:12,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,21,2024-06-29 13:01:12,,92.0,1.4,21.2,1016.4,7.0,9.0,0.6,15.5,0.3
"algete, Madrid, Spain",Madrid,31,2024-06-29 13:01:12,,75.8,2.8,30.5,1014.5,,25.0,,19.3,6.7
"alcorcón, Madrid, Spain",Madrid,27,2024-06-29 13:01:12,,72.0,2.8,27.3,1016.0,,21.0,,19.0,5.1
"valdemoro, Madrid, Spain",Madrid,32,2024-06-29 13:01:12,,79.5,1.9,31.7,1016.0,,21.0,,18.5,6.9
"torrejon de ardoz, Madrid, Spain",Madrid,29,2024-06-29 13:01:12,,66.0,4.6,28.9,1015.0,4.0,5.0,,20.5,6.4
"villa del prado, Madrid, Spain",Madrid,29,2024-06-29 13:01:12,,72.0,1.0,28.9,1016.0,4.0,13.0,1.1,19.0,5.1
"collado villalba, Madrid, Spain",Madrid,20,2024-06-29 13:01:12,,87.5,3.2,19.5,1014.5,,9.0,0.6,15.9,0.2
"villarejo de salvanes, Madrid, Spain",Madrid,29,2024-06-29 13:01:12,,77.6,2.8,29.3,1017.7,,9.0,,19.0,7.0
"Mercado Central, Canarias, Spain",Canarias,34,2024-06-29 13:01:12,0.1,68.2,7.8,21.6,1014.3,18.0,34.0,0.6,23.3,11.8
"San Nicolas, Canarias, Spain",Canarias,30,2024-06-29 13:01:12,0.1,68.2,6.4,21.2,1014.3,15.0,30.0,0.6,23.3,11.8
"Nestor Alamo, Canarias, Spain",Canarias,30,2024-06-29 13:01:12,0.1,68.2,7.8,23.2,1014.3,15.0,30.0,0.6,23.3,11.8
"Lezcano, Canarias, Spain",Canarias,30,2024-06-29 13:01:12,0.1,68.2,4.6,26.4,1014.3,18.0,30.0,2.1,23.3,11.8
"La Loma-Telde, Canarias, Spain",Canarias,25,2024-06-29 13:01:12,0.1,68.2,3.7,24.8,1014.3,24.0,17.0,2.6,23.3,11.8
"Jinamar fase 3, Canarias, Spain",Canarias,24,2024-06-29 13:01:12,0.1,68.2,5.1,23.6,1014.3,14.0,9.0,2.1,23.3,11.8
"Barcelona, Catalunya, Spain",Catalunya,34,2024-06-29 13:01:12,0.1,91.0,2.3,33.8,1011.9,10.0,21.0,0.6,18.0,6.7
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,31,2024-06-29 13:01:12,0.1,91.0,4.2,30.9,1011.9,16.0,21.0,0.6,18.5,6.7
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,31,2024-06-29 13:01:12,0.1,80.1,6.4,30.9,1010.7,10.0,,1.1,21.4,7.0
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,30,2024-06-29 13:01:12,0.1,91.0,3.7,30.1,1011.9,13.0,21.0,1.1,18.5,6.7
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,30,2024-06-29 13:01:12,0.1,91.0,5.5,30.1,1011.9,20.0,21.0,1.1,18.5,6.7
