names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,21,2024-06-30 23:13:46,0.1,79.5,2.3,,1019.0,9.0,21.0,0.6,17.5,1.5
"Basauri, País Vasco, Spain",Pais_Vasco,17,2024-06-30 23:13:46,,52.6,2.3,,1019.1,8.0,17.0,1.6,17.5,1.3
"Erandio, País Vasco, Spain",Pais_Vasco,17,2024-06-30 23:13:46,0.1,74.0,1.9,,1019.2,7.0,17.0,0.6,17.2,0.7
"Alonsotegi, País Vasco, Spain",Pais_Vasco,5,2024-06-30 23:13:46,,79.5,2.3,,1019.0,5.0,70.0,,17.5,1.5
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-30 23:13:46,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,39,2024-06-30 23:13:46,4.0,60.7,6.4,24.4,1012.7,14.0,39.0,2.1,25.4,10.0
"Principes, Sevilla, Spain",Andalucia,39,2024-06-30 23:13:46,4.0,60.7,3.7,24.4,1012.7,12.0,39.0,3.6,25.4,10.0
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,39,2024-06-30 23:13:46,4.0,61.6,1.0,29.5,1012.4,14.0,39.0,1.6,24.8,5.6
"Ranilla, Sevilla, Spain",Andalucia,30,2024-06-30 23:13:46,4.0,60.0,6.0,29.8,1012.2,6.0,23.0,1.6,25.7,8.6
"Santa Clara, Sevilla, Spain",Andalucia,30,2024-06-30 23:13:46,4.0,60.0,1.9,29.8,1012.2,6.0,23.0,1.6,25.7,8.6
"Bermejales, Sevilla, Spain",Andalucia,30,2024-06-30 23:13:46,4.0,60.0,2.8,29.9,1012.2,9.0,23.0,1.1,25.7,8.6
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,89,2024-06-30 23:13:46,3.7,77.0,3.8,13.1,1024.0,50.0,89.0,0.4,17.6,5.6
"Lope de Vega, Vigo, Galicia, Spain",Galicia,50,2024-06-30 23:13:46,1.0,85.0,6.4,16.6,1014.7,8.0,50.0,0.6,18.1,0.6
"Coia, Vigo, Galicia, Spain",Galicia,38,2024-06-30 23:13:46,1.0,85.0,5.1,21.8,1014.7,11.0,38.0,1.3,18.1,0.6
"Estación 1, Este, Galicia, Spain",Galicia,22,2024-06-30 23:13:46,1.0,85.0,4.1,22.1,1014.7,13.0,23.0,0.7,18.1,0.6
Worcester Summer St,Galicia,31,2024-06-30 23:13:46,3.4,96.0,2.8,20.8,1008.4,11.0,31.0,0.3,24.3,2.5
"Sensor Box 5, Oregon, USA",Galicia,18,2024-06-30 23:13:46,0.6,64.0,1.1,18.0,29.63,,8.0,0.5,23.5,3.0
"Tualatin I-5 Roadway, Oregon, USA",Galicia,15,2024-06-30 23:13:46,0.6,57.0,1.5,12.4,1019.9,,15.0,,22.8,2.8
"Portland, Oregon, USA",Galicia,12,2024-06-30 23:13:46,0.1,62.3,1.1,0.1,1019.6,,12.0,0.5,23.5,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-06-30 23:13:46,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Rocade CDG, PACA, France",Galicia,44,2024-06-30 23:13:46,,64.0,14.4,,1013.0,19.0,44.0,,24.0,2.5
"Le Pontet, PACA, France",Galicia,31,2024-06-30 23:13:46,,64.0,5.1,3.0,1013.0,18.0,31.0,,24.0,2.5
"Avignon Mairie, PACA, France",Galicia,24,2024-06-30 23:13:46,,72.0,2.9,24.1,1013.7,6.0,10.0,,23.3,4.0
"Avignon_semard, PACA, France",Galicia,33,2024-06-30 23:13:46,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,49,2024-06-30 23:13:46,,66.0,8.7,,1016.2,,49.0,,21.1,1.0
"Paris Stade Lenglen, Paris",Galicia,14,2024-06-30 23:13:46,,59.0,3.8,,1019.5,14.0,,,18.3,3.0
"Place Victor Basch, Paris",Galicia,27,2024-06-30 23:13:46,,74.2,16.4,,1025.1,27.0,,,-1.9,0.2
"Boulevard Peripherique Auteuil, Paris",Galicia,-,2024-06-30 23:13:46,0.1,72.0,1.9,22.0,1037.4,20.0,,0.6,6.1,1.0
"Torre Hércules, A Coruña, Galicia, Spain",Galicia,27,2024-06-30 23:13:46,1.1,86.5,0.5,26.5,1016.4,16.0,22.0,0.6,17.2,9.7
"Parque da Cega, Galicia, Spain",Galicia,23,2024-06-30 23:13:46,1.0,89.5,0.9,21.8,1018.7,8.0,23.0,0.6,16.9,2.0
"Riazor, A Coruña, Galicia, Spain",Galicia,22,2024-06-30 23:13:46,1.0,86.5,1.0,21.8,1016.4,6.0,21.0,0.6,17.2,9.7
"A Grela (C), Galicia, Spain",Galicia,22,2024-06-30 23:13:46,1.0,86.5,2.5,21.8,1016.4,10.0,8.0,2.5,17.2,9.7
"Molí del Sol, València, Valencia, Spain",Com_Valenciana,61,2024-06-30 23:13:46,,83.7,6.0,38.2,1016.3,17.0,61.0,1.6,25.0,3.5
"Politècnic, València, Valencia, Spain",Com_Valenciana,55,2024-06-30 23:13:46,,83.7,2.8,30.1,1016.3,19.0,55.0,1.6,25.0,3.5
"Quart de Poblet, Valencia, Spain",Com_Valenciana,55,2024-06-30 23:13:46,,78.0,1.9,38.6,1013.0,17.0,55.0,2.6,25.0,4.3
"Pista de Silla, València, Valencia, Spain",Com_Valenciana,38,2024-06-30 23:13:46,,82.2,6.9,36.6,,13.0,38.0,1.6,25.4,3.2
"Avd. Francia, València, Valencia, Spain",Com_Valenciana,9,2024-06-30 23:13:46,,80.5,4.2,57.8,1014.5,3.0,9.0,1.6,25.0,5.7
"Santa Clarita-Placerita, Los Angeles",Com_Valenciana,74,2024-06-30 23:13:46,1.2,30.0,3.1,73.8,1013.7,,31.0,,38.3,3.0
"Valence Urbain Centre, France",Com_Valenciana,5,2024-06-30 23:13:46,,80.0,3.7,19.4,1013.3,20.0,5.0,,20.3,3.3
"A7 Valence Est, France",Com_Valenciana,-,2024-06-30 23:13:46,,80.0,8.4,,1013.3,20.0,,,20.3,3.3
"Valence Sud, France",Com_Valenciana,-,2024-06-30 23:13:46,,80.0,3.7,19.6,1013.3,,,,20.3,3.3
"A7 Valence, France",Com_Valenciana,-,2024-06-30 23:13:46,,73.5,,,1024.8,,,,4.9,1.0
"Elda, Valencia, Spain",Com_Valenciana,37,2024-06-30 23:13:46,,77.7,2.3,37.0,999.7,5.0,13.0,2.1,24.1,1.2
"Viver, Valencia, Spain",Com_Valenciana,46,2024-06-30 23:13:46,,86.2,4.2,36.6,1014.6,17.0,46.0,1.6,23.8,2.0
"Buñol, Valencia, Spain",Com_Valenciana,42,2024-06-30 23:13:46,,74.2,1.9,41.9,1016.1,7.0,17.0,1.6,23.8,4.0
"Burriana, Valencia, Spain",Com_Valenciana,42,2024-06-30 23:13:46,,84.2,1.9,36.2,1014.0,12.0,42.0,1.6,24.3,1.5
"L'Alcora, Valencia, Spain",Com_Valenciana,24,2024-06-30 23:13:46,,86.2,3.2,24.4,1014.6,23.0,17.0,1.6,23.8,2.0
"Benigánim, Valencia, Spain",Com_Valenciana,42,2024-06-30 23:13:46,,71.0,4.6,41.5,1012.1,,,,25.8,2.5
"Benicassim, Valencia, Spain",Com_Valenciana,28,2024-06-30 23:13:46,,62.4,2.8,27.7,1013.4,3.0,9.0,1.6,24.1,0.8
"CEA, Sagunt, Valencia, Spain",Com_Valenciana,39,2024-06-30 23:13:46,,80.3,1.9,39.0,1010.9,10.0,30.0,2.6,25.0,3.6
"Algar de Palància, Valencia, Spain",Com_Valenciana,55,2024-06-30 23:13:46,,86.2,1.9,26.9,1014.6,25.0,55.0,1.6,23.8,2.0
"Rabassa, Alacant, Valencia, Spain",Com_Valenciana,35,2024-06-30 23:13:46,,83.0,1.9,34.6,1012.0,6.0,5.0,1.6,23.0,1.8
"Vinaròs Planta, Valencia, Spain",Com_Valenciana,46,2024-06-30 23:13:46,,89.6,1.9,23.0,1028.4,11.0,46.0,,3.8,0.6
"Tarragona (Bonavista), Catalunya, Spain",Catalunya,34,2024-06-30 23:13:46,,94.0,1.9,13.9,1014.0,15.0,34.0,3.1,22.0,1.5
"Perafort, Catalunya, Spain",Catalunya,34,2024-06-30 23:13:46,,39.0,1.9,12.0,1010.7,10.0,34.0,1.1,26.6,
"Burgos IV, Spain",Castilla_Leon,25,2024-06-30 23:13:46,0.1,87.0,2.8,25.2,1019.0,9.0,17.0,5.6,15.0,4.1
"Burgos I, Spain",Castilla_Leon,45,2024-06-30 23:13:46,0.1,48.5,31.6,16.3,1033.5,45.0,9.0,1.6,9.5,0.7
"Medina de Pomar, Burgos, Spain",Castilla_Leon,26,2024-06-30 23:13:46,,74.0,1.0,25.6,1019.3,9.0,,0.6,17.2,0.7
"Aranda de Duero II, Burgos, Spain",Castilla_Leon,29,2024-06-30 23:13:46,,87.0,7.4,29.3,1019.0,10.0,,0.6,15.0,4.1
"Miranda de Ebro II, Burgos, Spain",Castilla_Leon,29,2024-06-30 23:13:46,,82.0,3.7,28.9,1019.0,7.0,,0.6,15.5,3.3
"Miranda de Ebro I, Burgos, Spain",Castilla_Leon,7,2024-06-30 23:13:46,,78.5,6.0,1.7,1006.0,7.0,,1.6,12.0,1.8
"Limburg-Schiede, Germany",Castilla_Leon,43,2024-06-30 23:13:46,0.1,82.0,19.2,32.7,1013.0,14.0,43.0,0.5,15.0,3.0
"Limburg, Germany",Castilla_Leon,37,2024-06-30 23:13:46,0.1,88.7,19.2,30.2,1017.3,12.0,37.0,0.5,16.8,0.5
"El Atabal, Malaga, Spain",Andalucia,36,2024-06-30 23:13:46,,40.7,7.8,36.0,1013.4,11.0,22.0,1.6,29.4,5.0
"Carranque, Malaga, Spain",Andalucia,31,2024-06-30 23:13:46,,40.7,7.8,30.9,1013.4,14.0,22.0,1.6,29.4,5.0
"Campanillas, Malaga, Spain",Andalucia,41,2024-06-30 23:13:46,,34.5,1.4,41.1,1012.0,14.0,19.0,3.1,29.0,4.6
"Granada-norte, Granada, Spain",Andalucia,41,2024-06-30 23:13:46,,42.6,8.3,40.8,1007.8,8.0,15.0,2.1,24.0,2.5
"Palacio De Congresos, Granada, Spain",Andalucia,41,2024-06-30 23:13:46,,42.6,6.4,40.8,1007.7,12.0,35.0,4.6,24.0,2.5
"Ciudad Deportiva, Armilla, Spain",Andalucia,35,2024-06-30 23:13:46,,42.6,0.5,34.0,1007.8,12.0,35.0,1.6,24.0,2.5
"Erie, Ohio, USA",Castilla_Mancha,24,2024-06-30 23:13:46,,46.0,,24.1,1022.0,,,,23.0,5.1
"Segovia II, Spain",Castilla_Leon,30,2024-06-30 23:13:46,,71.0,1.4,30.1,1015.4,16.0,,0.6,18.8,0.2
"Soria, Spain",Castilla_Leon,31,2024-06-30 23:13:46,,93.0,6.9,31.3,1017.0,11.0,,2.1,19.0,1.0
"Avda de Soria, Zaragoza, Spain",Castilla_Leon,34,2024-06-30 23:13:46,1.6,55.0,8.8,34.0,1015.4,14.0,,0.8,22.0,10.0
"Muriel de la Fuente, Soria, Spain",Castilla_Leon,19,2024-06-30 23:13:46,,65.3,4.6,19.1,1018.1,11.0,,0.6,18.3,0.6
"Casoria Scuola Palizzi (CAM), Casoria, Campania, Italy",Castilla_Leon,31,2024-06-30 23:13:46,,88.0,4.1,30.9,1014.0,,,,24.0,2.0
"Museo Nazionale, Napoli, Campania, Italy",Castilla_Leon,55,2024-06-30 23:13:46,,85.7,5.6,,1015.3,22.0,55.0,,24.5,0.2
"Osservatorio Astronomico, Napoli, Campania, Italy",Castilla_Leon,27,2024-06-30 23:13:46,,85.8,0.4,27.2,1015.3,,,,24.5,0.2
