names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,46,2024-06-26 11:59:33,0.1,51.6,8.3,28.5,1013.1,28.0,46.0,1.6,24.9,3.7,2024-06-26,11,mediodia,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,57,2024-06-26 11:59:33,,50.0,6.0,,1013.1,28.0,57.0,,24.5,3.7,2024-06-26,11,mediodia,Moderada
"Castellana, Madrid, Spain",Madrid,46,2024-06-26 11:59:33,,50.0,8.3,,1013.1,28.0,46.0,,24.5,3.7,2024-06-26,11,mediodia,Buena
"Casa De Campo, Madrid, Spain",Madrid,42,2024-06-26 11:59:33,,50.0,6.9,32.1,1013.1,28.0,42.0,,24.5,3.7,2024-06-26,11,mediodia,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,38,2024-06-26 11:59:33,0.1,47.0,10.1,,1012.0,24.0,38.0,,26.0,2.3,2024-06-26,11,mediodia,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,38,2024-06-26 11:59:33,,47.0,14.7,,1012.0,20.0,38.0,,26.0,2.5,2024-06-26,11,mediodia,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,29,2024-06-26 11:59:33,0.1,50.0,7.4,28.5,1013.1,20.0,17.0,1.6,24.5,3.7,2024-06-26,11,mediodia,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,27,2024-06-26 11:59:33,,51.6,4.6,,1011.8,27.0,17.0,,24.9,3.5,2024-06-26,11,mediodia,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,26,2024-06-26 11:59:33,,50.0,9.2,,1013.1,26.0,34.0,,24.5,3.7,2024-06-26,11,mediodia,Buena
"Sanchinarro, Madrid, Spain",Madrid,25,2024-06-26 11:59:33,,51.2,6.0,,1010.7,15.0,25.0,,24.8,4.7,2024-06-26,11,mediodia,Buena
