names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,57,2024-06-28 09:16:24,0.1,53.1,9.2,25.2,1016.3,29.0,57.0,1.6,21.1,3.1,2024-06-28,9,mañana,Moderada
"Castellana, Madrid, Spain",Madrid,57,2024-06-28 09:16:24,,49.2,9.2,,1016.3,29.0,57.0,,21.3,2.0,2024-06-28,9,mañana,Moderada
"Mendez Alvaro, Madrid, Spain",Madrid,38,2024-06-28 09:16:24,,52.7,7.8,,1014.8,18.0,38.0,,20.7,3.4,2024-06-28,9,mañana,Buena
"Casa De Campo, Madrid, Spain",Madrid,34,2024-06-28 09:16:24,,48.0,6.0,33.3,1016.3,18.0,34.0,,21.6,1.0,2024-06-28,9,mañana,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,30,2024-06-28 09:16:24,,49.2,9.2,,1016.3,19.0,30.0,,21.3,2.0,2024-06-28,9,mañana,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,25,2024-06-28 09:16:24,0.1,48.0,13.8,25.2,1016.3,17.0,17.0,1.6,21.6,1.0,2024-06-28,9,mañana,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-06-28 09:16:24,0.1,52.0,19.7,,1015.0,18.0,25.0,,21.0,1.5,2024-06-28,9,mañana,Buena
"Sanchinarro, Madrid, Spain",Madrid,21,2024-06-28 09:16:24,,50.0,12.8,,1013.8,15.0,21.0,,21.9,0.5,2024-06-28,9,mañana,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-28 09:16:24,,52.0,17.4,,1015.0,16.0,21.0,,21.0,1.8,2024-06-28,9,mañana,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,17,2024-06-28 09:16:24,,49.2,8.7,,1016.3,13.0,17.0,,21.3,2.0,2024-06-28,9,mañana,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-28 09:16:24,,88.0,,,1025.9,,,,7.7,1.7,2024-06-28,9,mañana,-
"el atazar, Madrid, Spain",Madrid,63,2024-06-28 09:16:24,,60.4,1.0,35.8,1017.1,47.0,63.0,1.1,19.2,0.3,2024-06-28,9,mañana,Moderada
"algete, Madrid, Spain",Madrid,59,2024-06-28 09:16:24,,57.4,4.2,30.1,1012.9,,59.0,,20.0,0.4,2024-06-28,9,mañana,Moderada
