names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,38,2024-07-01 22:44:50,0.1,44.0,3.2,33.3,1022.0,10.0,38.0,1.6,25.0,9.0,2024-07-01,22,noche,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,50,2024-07-01 22:44:51,,34.0,19.2,,1021.0,20.0,50.0,,26.0,3.6,2024-07-01,22,noche,Buena
"Casa De Campo, Madrid, Spain",Madrid,39,2024-07-01 22:44:52,,39.0,2.3,39.0,1022.0,7.0,13.0,,25.0,8.0,2024-07-01,22,noche,Buena
"Castellana, Madrid, Spain",Madrid,38,2024-07-01 22:44:52,,39.0,3.2,,1022.0,10.0,38.0,,25.0,8.0,2024-07-01,22,noche,Buena
"Sanchinarro, Madrid, Spain",Madrid,34,2024-07-01 22:44:53,,41.0,3.2,,1019.5,11.0,34.0,,24.4,7.0,2024-07-01,22,noche,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,33,2024-07-01 22:44:54,0.1,40.5,5.1,33.3,1022.0,11.0,25.0,1.6,24.7,7.5,2024-07-01,22,noche,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-07-01 22:44:54,0.1,27.0,16.5,,1020.0,13.0,25.0,,27.5,3.0,2024-07-01,22,noche,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,21,2024-07-01 22:44:55,,44.3,4.2,,1020.6,9.0,21.0,,24.4,8.0,2024-07-01,22,noche,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,17,2024-07-01 22:44:56,,39.0,9.6,,1022.0,10.0,17.0,,25.0,8.0,2024-07-01,22,noche,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,4,2024-07-01 22:44:56,,39.0,4.6,,1022.0,4.0,5.0,,25.0,8.0,2024-07-01,22,noche,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-01 22:44:57,,88.0,,,1025.9,,,,7.7,1.7,2024-07-01,22,noche,-
"el atazar, Madrid, Spain",Madrid,35,2024-07-01 22:44:58,,61.5,0.5,34.6,1023.7,5.0,25.0,1.1,19.1,0.3,2024-07-01,22,noche,Buena
"algete, Madrid, Spain",Madrid,42,2024-07-01 22:44:58,,50.6,1.0,41.9,1019.4,,21.0,,23.5,13.0,2024-07-01,22,noche,Buena
"alcorcón, Madrid, Spain",Madrid,38,2024-07-01 22:44:59,,34.0,6.9,38.2,1021.0,,17.0,,26.0,3.6,2024-07-01,22,noche,Buena
