names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,57,2024-06-26 16:53:17,0.1,62.0,7.8,38.6,1011.6,9.0,57.0,1.6,26.6,9.0,2024-06-26,16,tarde,Moderada
"Plaza Elíptica, Madrid, Spain",Madrid,65,2024-06-26 16:53:17,0.1,43.5,9.2,,1012.0,32.0,65.0,,28.5,5.1,2024-06-26,16,tarde,Moderada
"Fernandez Ladreda, Madrid, Spain",Madrid,65,2024-06-26 16:53:17,,50.0,9.2,,1011.0,32.0,65.0,,26.0,5.1,2024-06-26,16,tarde,Moderada
"Plaza De Castilla, Madrid, Spain",Madrid,63,2024-06-26 16:53:17,,52.6,4.6,,1011.9,31.0,63.0,,25.7,6.0,2024-06-26,16,tarde,Moderada
"Castellana, Madrid, Spain",Madrid,57,2024-06-26 16:53:17,,52.6,7.8,,1011.9,9.0,57.0,,25.7,6.0,2024-06-26,16,tarde,Moderada
"Sanchinarro, Madrid, Spain",Madrid,55,2024-06-26 16:53:17,,53.0,4.2,,1009.7,24.0,55.0,,26.1,5.6,2024-06-26,16,tarde,Moderada
"Mendez Alvaro, Madrid, Spain",Madrid,50,2024-06-26 16:53:17,,63.1,2.8,,1011.1,27.0,50.0,,24.4,4.8,2024-06-26,16,tarde,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,50,2024-06-26 16:53:17,,52.6,6.0,,1011.9,28.0,50.0,,25.7,6.0,2024-06-26,16,tarde,Buena
"Casa De Campo, Madrid, Spain",Madrid,45,2024-06-26 16:53:17,,52.6,2.8,45.1,1011.9,23.0,38.0,,25.7,6.0,2024-06-26,16,tarde,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,39,2024-06-26 16:53:17,0.1,52.6,6.0,38.6,1011.9,27.0,34.0,1.6,25.7,6.0,2024-06-26,16,tarde,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-26 16:53:17,,88.0,,,1025.9,,,,7.7,1.7,2024-06-26,16,tarde,-
"el atazar, Madrid, Spain",Madrid,43,2024-06-26 16:53:17,,54.0,1.4,43.1,1013.8,13.0,17.0,0.6,25.3,0.6,2024-06-26,16,tarde,Buena
"algete, Madrid, Spain",Madrid,45,2024-06-26 16:53:17,,56.0,2.3,45.1,1009.0,,38.0,,25.9,8.5,2024-06-26,16,tarde,Buena
"alcorcón, Madrid, Spain",Madrid,55,2024-06-26 16:53:17,,50.0,2.8,39.0,1011.0,,55.0,,26.0,5.1,2024-06-26,16,tarde,Moderada
"valdemoro, Madrid, Spain",Madrid,55,2024-06-26 16:53:17,,64.0,3.2,39.0,1010.0,,55.0,,24.0,9.7,2024-06-26,16,tarde,Moderada
"torrejon de ardoz, Madrid, Spain",Madrid,37,2024-06-26 16:53:17,,39.0,2.8,37.0,1012.0,18.0,34.0,,28.0,7.7,2024-06-26,16,tarde,Buena
"villa del prado, Madrid, Spain",Madrid,46,2024-06-26 16:53:17,,52.0,1.4,46.3,1005.7,11.0,5.0,1.1,27.2,3.0,2024-06-26,16,tarde,Buena
"collado villalba, Madrid, Spain",Madrid,197,2024-06-26 16:53:17,,52.6,4.2,48.8,1008.7,,197.0,1.1,25.7,0.3,2024-06-26,16,tarde,Dañina a la Salud
"villarejo de salvanes, Madrid, Spain",Madrid,38,2024-06-26 16:53:17,,62.2,2.3,38.2,1014.1,,34.0,,25.0,2.5,2024-06-26,16,tarde,Buena
"San Nicolas, Canarias, Spain",Canarias,40,2024-06-26 16:53:17,0.1,76.7,1.0,39.8,1012.1,12.0,21.0,0.6,22.4,8.7,2024-06-26,16,tarde,Buena
"Mercado Central, Canarias, Spain",Canarias,32,2024-06-26 16:53:17,0.1,76.7,2.8,31.7,1012.1,20.0,30.0,0.6,22.4,8.7,2024-06-26,16,tarde,Buena
"Nestor Alamo, Canarias, Spain",Canarias,30,2024-06-26 16:53:17,0.1,76.7,7.8,29.7,1012.1,10.0,17.0,0.6,22.4,8.7,2024-06-26,16,tarde,Buena
"Lezcano, Canarias, Spain",Canarias,28,2024-06-26 16:53:17,0.1,76.7,3.7,27.7,1012.1,5.0,13.0,2.1,22.4,8.7,2024-06-26,16,tarde,Buena
"Jinamar fase 3, Canarias, Spain",Canarias,27,2024-06-26 16:53:17,0.1,76.7,2.8,26.9,1012.1,10.0,5.0,2.1,22.4,8.7,2024-06-26,16,tarde,Buena
"La Loma-Telde, Canarias, Spain",Canarias,24,2024-06-26 16:53:17,0.1,76.7,2.8,24.0,1012.1,12.0,5.0,2.6,22.4,8.7,2024-06-26,16,tarde,Buena
"Barcelona, Catalunya, Spain",Catalunya,36,2024-06-26 16:53:17,0.1,56.5,2.8,36.2,1013.5,14.0,21.0,0.6,26.3,0.5,2024-06-26,16,tarde,Buena
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,34,2024-06-26 16:53:17,0.1,55.6,3.2,34.2,1013.5,16.0,21.0,0.6,26.2,1.3,2024-06-26,16,tarde,Buena
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,34,2024-06-26 16:53:17,0.1,55.6,3.2,34.2,1013.5,11.0,21.0,1.1,26.2,1.3,2024-06-26,16,tarde,Buena
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,34,2024-06-26 16:53:17,0.1,55.6,3.7,34.2,1013.5,19.0,21.0,1.1,26.2,1.3,2024-06-26,16,tarde,Buena
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,31,2024-06-26 16:53:17,0.1,55.6,9.2,30.5,1013.5,15.0,25.0,0.6,26.2,1.3,2024-06-26,16,tarde,Buena
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,30,2024-06-26 16:53:17,,70.0,5.1,30.1,1012.2,19.0,,,26.1,9.3,2024-06-26,16,tarde,Buena
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,29,2024-06-26 16:53:17,0.1,75.4,14.7,28.9,1011.8,13.0,,2.6,25.4,9.0,2024-06-26,16,tarde,Buena
"Barcelona (Eixample), Catalunya, Spain",Catalunya,28,2024-06-26 16:53:17,0.1,71.6,11.5,27.7,1010.4,15.0,25.0,1.1,26.4,,2024-06-26,16,tarde,Buena
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,20,2024-06-26 16:53:17,0.1,71.6,10.6,25.0,1010.4,20.0,,,26.4,,2024-06-26,16,tarde,Buena
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-26 16:53:17,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1,2024-06-26,16,tarde,-
"Basauri, País Vasco, Spain",Pais_Vasco,68,2024-06-26 16:53:17,,48.3,13.3,,1008.8,32.0,68.0,1.6,26.6,13.3,2024-06-26,16,tarde,Moderada
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,65,2024-06-26 16:53:17,0.1,73.0,8.7,,1009.0,25.0,65.0,1.1,25.5,5.1,2024-06-26,16,tarde,Moderada
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,65,2024-06-26 16:53:17,,73.0,9.6,29.3,1009.0,27.0,65.0,1.6,25.5,5.1,2024-06-26,16,tarde,Moderada
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,61,2024-06-26 16:53:17,,73.0,3.2,,1009.0,21.0,61.0,,25.5,5.1,2024-06-26,16,tarde,Moderada
"Erandio, País Vasco, Spain",Pais_Vasco,59,2024-06-26 16:53:17,0.1,80.3,6.0,,1010.1,19.0,59.0,0.6,23.3,2.0,2024-06-26,16,tarde,Moderada
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,47,2024-06-26 16:53:17,,73.0,11.5,19.5,1009.0,47.0,,,25.5,5.1,2024-06-26,16,tarde,Buena
