names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,25,2024-07-03 12:29:07,0.1,28.0,11.9,22.8,1019.8,11.0,25.0,2.1,25.2,1.5,2024-07-03,12,mediodia,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,42,2024-07-03 12:29:08,0.1,26.0,17.9,,1019.0,20.0,42.0,,25.0,1.2,2024-07-03,12,mediodia,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,38,2024-07-03 12:29:09,,31.0,16.5,,1019.0,25.0,38.0,,23.0,1.5,2024-07-03,12,mediodia,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-07-03 12:29:09,,28.0,12.8,,1019.8,20.0,34.0,,25.2,1.5,2024-07-03,12,mediodia,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,34,2024-07-03 12:29:10,,28.0,9.2,,1019.8,16.0,34.0,,25.2,1.5,2024-07-03,12,mediodia,Buena
"Casa De Campo, Madrid, Spain",Madrid,30,2024-07-03 12:29:11,,28.0,14.7,26.0,1019.8,18.0,30.0,,25.2,1.5,2024-07-03,12,mediodia,Buena
"Sanchinarro, Madrid, Spain",Madrid,30,2024-07-03 12:29:12,,29.5,4.2,,1017.5,10.0,30.0,,25.5,1.2,2024-07-03,12,mediodia,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-07-03 12:29:12,,27.8,11.5,,1018.4,21.0,25.0,,24.4,1.1,2024-07-03,12,mediodia,Buena
"Castellana, Madrid, Spain",Madrid,25,2024-07-03 12:29:13,,28.0,11.9,,1019.8,11.0,25.0,,25.2,1.5,2024-07-03,12,mediodia,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,23,2024-07-03 12:29:14,0.1,28.0,15.1,22.8,1019.8,14.0,13.0,2.1,25.2,1.5,2024-07-03,12,mediodia,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-03 12:29:14,,88.0,,,1025.9,,,,7.7,1.7,2024-07-03,12,mediodia,-
"el atazar, Madrid, Spain",Madrid,30,2024-07-03 12:29:15,,38.6,1.0,30.1,1020.2,5.0,9.0,1.1,24.8,0.3,2024-07-03,12,mediodia,Buena
"algete, Madrid, Spain",Madrid,50,2024-07-03 12:29:16,,39.4,2.8,26.4,1017.7,,50.0,,22.2,1.5,2024-07-03,12,mediodia,Buena
"alcorcón, Madrid, Spain",Madrid,42,2024-07-03 12:29:16,,31.0,24.7,10.2,1019.0,,42.0,,23.0,1.5,2024-07-03,12,mediodia,Buena
