names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,28,2024-06-28 17:07:44,0.1,86.0,3.2,28.1,1016.2,7.0,17.0,1.6,16.1,9.0,2024-06-28,17,tarde,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,50,2024-06-28 17:07:44,0.1,82.0,4.6,28.1,1016.2,17.0,50.0,1.6,16.1,3.0,2024-06-28,17,tarde,Buena
"Sanchinarro, Madrid, Spain",Madrid,46,2024-06-28 17:07:44,,84.0,1.9,,1014.0,15.0,46.0,,15.5,7.0,2024-06-28,17,tarde,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,38,2024-06-28 17:07:44,,82.0,3.7,,1016.2,14.0,38.0,,16.1,3.0,2024-06-28,17,tarde,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-06-28 17:07:44,,82.0,2.8,,1016.2,12.0,34.0,,16.1,3.0,2024-06-28,17,tarde,Buena
"Casa De Campo, Madrid, Spain",Madrid,32,2024-06-28 17:07:44,,82.0,1.9,31.7,1016.2,7.0,21.0,,16.1,3.0,2024-06-28,17,tarde,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-28 17:07:44,,87.0,2.8,,1015.0,7.0,21.0,,16.0,6.4,2024-06-28,17,tarde,Buena
"Castellana, Madrid, Spain",Madrid,17,2024-06-28 17:07:44,,82.0,3.2,,1016.2,7.0,17.0,,16.1,3.0,2024-06-28,17,tarde,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,17,2024-06-28 17:07:44,0.1,87.0,3.7,,1015.0,7.0,17.0,,16.0,6.4,2024-06-28,17,tarde,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,13,2024-06-28 17:07:44,,86.0,2.3,,1014.8,7.0,13.0,,16.1,9.0,2024-06-28,17,tarde,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-28 17:07:44,,88.0,,,1025.9,,,,7.7,1.7,2024-06-28,17,tarde,-
"el atazar, Madrid, Spain",Madrid,22,2024-06-28 17:07:44,,93.0,1.9,22.0,1015.0,5.0,17.0,0.6,14.3,0.3,2024-06-28,17,tarde,Buena
"algete, Madrid, Spain",Madrid,34,2024-06-28 17:07:44,,83.2,1.9,26.4,1013.4,,34.0,,16.6,6.2,2024-06-28,17,tarde,Buena
"alcorcón, Madrid, Spain",Madrid,27,2024-06-28 17:07:44,,87.0,1.9,26.9,1015.0,,21.0,,16.0,6.4,2024-06-28,17,tarde,Buena
"valdemoro, Madrid, Spain",Madrid,26,2024-06-28 17:07:44,,82.0,1.9,26.0,1014.5,,21.0,,17.0,7.4,2024-06-28,17,tarde,Buena
"torrejon de ardoz, Madrid, Spain",Madrid,24,2024-06-28 17:07:44,,77.0,3.2,24.4,1014.0,3.0,5.0,,17.0,6.9,2024-06-28,17,tarde,Buena
"villa del prado, Madrid, Spain",Madrid,24,2024-06-28 17:07:44,,87.0,1.4,24.4,1015.0,7.0,17.0,1.1,16.0,6.4,2024-06-28,17,tarde,Buena
"collado villalba, Madrid, Spain",Madrid,25,2024-06-28 17:07:44,,94.0,3.2,21.2,1013.1,,25.0,0.6,13.8,0.2,2024-06-28,17,tarde,Buena
"villarejo de salvanes, Madrid, Spain",Madrid,20,2024-06-28 17:07:44,,82.7,4.2,19.5,1016.6,,9.0,,16.8,7.2,2024-06-28,17,tarde,Buena
"San Nicolas, Canarias, Spain",Canarias,34,2024-06-28 17:07:44,0.1,76.4,2.3,23.2,1014.7,14.0,34.0,0.6,20.8,7.2,2024-06-28,17,tarde,Buena
