names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,21,2024-06-30 09:04:45,0.1,86.0,3.2,20.8,1017.1,3.0,5.0,1.6,16.7,3.4,2024-06-30,9,mañana,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,46,2024-06-30 09:04:45,,82.0,4.2,,1017.3,14.0,46.0,,16.3,1.7,2024-06-30,9,mañana,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,42,2024-06-30 09:04:45,0.1,82.0,2.3,20.8,1017.3,13.0,42.0,1.6,16.3,1.7,2024-06-30,9,mañana,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,82.0,2.3,,1017.3,10.0,25.0,,16.3,1.7,2024-06-30,9,mañana,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,0.1,87.0,4.6,,1016.0,9.0,25.0,,16.0,2.0,2024-06-30,9,mañana,Buena
"Casa De Campo, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,82.0,1.9,24.8,1017.3,8.0,17.0,,16.3,1.7,2024-06-30,9,mañana,Buena
"Sanchinarro, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,83.5,2.3,,1015.1,9.0,25.0,,16.6,1.7,2024-06-30,9,mañana,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,25,2024-06-30 09:04:45,,84.5,4.6,,1016.0,9.0,25.0,,16.5,1.8,2024-06-30,9,mañana,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,21,2024-06-30 09:04:45,,87.8,1.9,,1016.1,10.0,21.0,,16.6,3.4,2024-06-30,9,mañana,Buena
"Castellana, Madrid, Spain",Madrid,5,2024-06-30 09:04:45,,82.0,3.2,,1017.3,3.0,5.0,,16.3,1.7,2024-06-30,9,mañana,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-30 09:04:45,,88.0,,,1025.9,,,,7.7,1.7,2024-06-30,9,mañana,-
"el atazar, Madrid, Spain",Madrid,22,2024-06-30 09:04:45,,91.0,1.9,22.0,1017.5,10.0,21.0,1.1,15.0,0.3,2024-06-30,9,mañana,Buena
