names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,37,2024-07-02 17:21:24,0.1,31.7,4.6,37.0,1019.9,10.0,25.0,1.6,29.4,4.0,2024-07-02,17,tarde,Buena
"Casa De Campo, Madrid, Spain",Madrid,42,2024-07-02 17:21:24,,29.7,1.9,41.5,1019.9,6.0,13.0,,29.3,4.0,2024-07-02,17,tarde,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,38,2024-07-02 17:21:25,,29.7,6.9,,1019.9,13.0,38.0,,29.3,4.0,2024-07-02,17,tarde,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,37,2024-07-02 17:21:26,0.1,29.7,5.1,37.0,1019.9,11.0,34.0,1.6,29.3,4.0,2024-07-02,17,tarde,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,34,2024-07-02 17:21:27,,31.7,2.3,,1018.6,10.0,34.0,,29.4,3.0,2024-07-02,17,tarde,Buena
"Castellana, Madrid, Spain",Madrid,25,2024-07-02 17:21:27,,29.7,4.6,,1019.9,10.0,25.0,,29.3,4.0,2024-07-02,17,tarde,Buena
"Sanchinarro, Madrid, Spain",Madrid,21,2024-07-02 17:21:28,,30.5,2.3,,1017.5,7.0,21.0,,29.7,3.2,2024-07-02,17,tarde,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,13,2024-07-02 17:21:29,0.1,26.0,8.7,,1019.0,6.0,13.0,,31.0,2.3,2024-07-02,17,tarde,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,13,2024-07-02 17:21:29,,26.0,7.8,,1019.0,8.0,13.0,,31.0,2.3,2024-07-02,17,tarde,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,9,2024-07-02 17:21:30,,29.7,7.4,,1019.9,6.0,9.0,,29.3,4.0,2024-07-02,17,tarde,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-02 17:21:31,,88.0,,,1025.9,,,,7.7,1.7,2024-07-02,17,tarde,-
"el atazar, Madrid, Spain",Madrid,26,2024-07-02 17:21:31,,44.0,0.5,26.0,1022.0,4.0,25.0,1.1,25.8,2.0,2024-07-02,17,tarde,Buena
"algete, Madrid, Spain",Madrid,31,2024-07-02 17:21:32,,36.8,1.0,30.9,1018.1,,13.0,,28.3,4.5,2024-07-02,17,tarde,Buena
"alcorcón, Madrid, Spain",Madrid,33,2024-07-02 17:21:33,,30.0,6.0,32.9,1020.0,,25.0,,29.0,2.5,2024-07-02,17,tarde,Buena
"valdemoro, Madrid, Spain",Madrid,34,2024-07-02 17:21:33,,27.0,2.8,33.8,1020.0,,9.0,,30.0,2.5,2024-07-02,17,tarde,Buena
"torrejon de ardoz, Madrid, Spain",Madrid,29,2024-07-02 17:21:34,,28.0,1.4,28.9,1019.0,13.0,5.0,,29.0,2.0,2024-07-02,17,tarde,Buena
"villa del prado, Madrid, Spain",Madrid,33,2024-07-02 17:21:35,,30.0,1.0,32.9,1020.0,8.0,9.0,1.1,29.0,2.5,2024-07-02,17,tarde,Buena
"collado villalba, Madrid, Spain",Madrid,28,2024-07-02 17:21:35,,40.3,3.2,28.1,1018.6,,9.0,0.6,27.0,0.2,2024-07-02,17,tarde,Buena
"villarejo de salvanes, Madrid, Spain",Madrid,27,2024-07-02 17:21:36,,32.3,2.8,26.9,1022.5,,5.0,,29.2,2.6,2024-07-02,17,tarde,Buena
"Mercado Central, Canarias, Spain",Canarias,34,2024-07-02 17:21:38,0.1,59.2,7.8,24.8,1012.4,21.0,34.0,2.6,24.7,12.8,2024-07-02,17,tarde,Buena
"Lezcano, Canarias, Spain",Canarias,30,2024-07-02 17:21:39,0.1,58.2,4.6,29.7,1012.8,17.0,21.0,2.1,25.5,13.3,2024-07-02,17,tarde,Buena
"Nestor Alamo, Canarias, Spain",Canarias,29,2024-07-02 17:21:40,0.1,58.2,4.6,28.5,1012.8,17.0,25.0,0.6,25.5,13.3,2024-07-02,17,tarde,Buena
"Jinamar fase 3, Canarias, Spain",Canarias,29,2024-07-02 17:21:40,0.1,58.2,4.2,28.9,1012.8,15.0,9.0,2.1,25.5,13.3,2024-07-02,17,tarde,Buena
"San Nicolas, Canarias, Spain",Canarias,28,2024-07-02 17:21:41,0.1,58.2,3.2,28.1,1012.8,11.0,21.0,0.6,25.5,13.3,2024-07-02,17,tarde,Buena
"La Loma-Telde, Canarias, Spain",Canarias,27,2024-07-02 17:21:42,0.1,58.2,5.5,26.9,1012.8,20.0,17.0,2.6,25.5,13.3,2024-07-02,17,tarde,Buena
"Barcelona (Eixample), Catalunya, Spain",Catalunya,34,2024-07-02 17:21:44,0.1,79.0,11.5,17.1,1015.1,16.0,34.0,0.6,23.8,,2024-07-02,17,tarde,Buena
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,34,2024-07-02 17:21:45,0.1,76.0,10.1,19.9,1017.7,16.0,34.0,0.6,22.4,2.0,2024-07-02,17,tarde,Buena
"Barcelona, Catalunya, Spain",Catalunya,25,2024-07-02 17:21:45,0.1,78.5,3.7,25.2,1017.8,11.0,25.0,0.6,21.9,3.0,2024-07-02,17,tarde,Buena
