names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,30,2024-06-28 22:50:15,0.1,62.0,5.1,28.9,1015.9,8.0,30.0,1.6,20.0,7.0,2024-06-28,22,noche,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,46,2024-06-28 22:50:15,0.1,56.0,8.7,,1014.5,16.0,46.0,,20.0,4.8,2024-06-28,22,noche,Buena
"Casa De Campo, Madrid, Spain",Madrid,38,2024-06-28 22:50:15,,62.0,1.9,37.8,1015.9,10.0,21.0,,19.4,3.0,2024-06-28,22,noche,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,34,2024-06-28 22:50:15,,56.0,8.3,,1015.0,16.0,34.0,,20.0,5.1,2024-06-28,22,noche,Buena
"Castellana, Madrid, Spain",Madrid,30,2024-06-28 22:50:15,,62.0,5.1,,1015.9,8.0,30.0,,19.4,3.0,2024-06-28,22,noche,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,29,2024-06-28 22:50:15,0.1,62.0,8.7,28.9,1015.9,3.0,5.0,1.6,19.4,3.0,2024-06-28,22,noche,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,21,2024-06-28 22:50:15,,62.0,4.2,,1015.9,11.0,21.0,,19.4,3.0,2024-06-28,22,noche,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,21,2024-06-28 22:50:15,,62.0,8.7,,1015.9,12.0,21.0,,19.4,3.0,2024-06-28,22,noche,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,9,2024-06-28 22:50:15,,59.0,2.3,,1014.5,7.0,9.0,,20.0,7.0,2024-06-28,22,noche,Buena
"Sanchinarro, Madrid, Spain",Madrid,5,2024-06-28 22:50:15,,64.0,5.1,,1013.4,1.0,5.0,,19.4,4.0,2024-06-28,22,noche,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-28 22:50:15,,88.0,,,1025.9,,,,7.7,1.7,2024-06-28,22,noche,-
"el atazar, Madrid, Spain",Madrid,55,2024-06-28 22:50:15,,69.6,1.4,39.8,1014.7,30.0,55.0,1.1,20.0,0.2,2024-06-28,22,noche,Moderada
"algete, Madrid, Spain",Madrid,39,2024-06-28 22:50:15,,56.3,3.7,39.0,1012.5,,38.0,,21.1,5.5,2024-06-28,22,noche,Buena
"alcorcón, Madrid, Spain",Madrid,33,2024-06-28 22:50:15,,63.0,3.7,32.9,1015.0,,13.0,,19.0,4.6,2024-06-28,22,noche,Buena
"valdemoro, Madrid, Spain",Madrid,38,2024-06-28 22:50:15,,52.0,1.9,35.8,1014.0,,38.0,,21.0,5.1,2024-06-28,22,noche,Buena
"torrejon de ardoz, Madrid, Spain",Madrid,53,2024-06-28 22:50:15,,34.0,6.9,36.6,1014.5,21.0,53.0,,27.0,2.0,2024-06-28,22,noche,Moderada
"villa del prado, Madrid, Spain",Madrid,31,2024-06-28 22:50:15,,56.0,1.4,30.9,1015.0,7.0,13.0,1.1,20.0,5.1,2024-06-28,22,noche,Buena
