names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,20,2024-06-25 22:35:37,0.1,78.5,6.0,25.0,1010.8,20.0,,,23.3,,2024-06-25,22,noche,Buena
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,68,2024-06-25 22:35:37,0.1,84.7,8.3,,1010.6,30.0,68.0,1.1,21.1,0.7,2024-06-25,22,noche,Moderada
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-25 22:35:37,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1,2024-06-25,22,noche,-
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,46,2024-06-25 22:35:37,,88.0,6.4,,1010.0,24.0,46.0,,22.0,3.0,2024-06-25,22,noche,Buena
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,34,2024-06-25 22:35:37,0.1,88.0,5.5,,1010.0,13.0,34.0,0.6,22.0,3.0,2024-06-25,22,noche,Buena
"Basauri, País Vasco, Spain",Pais_Vasco,34,2024-06-25 22:35:37,,54.0,6.4,,1010.3,15.0,34.0,1.1,21.5,5.5,2024-06-25,22,noche,Buena
"Alonsotegi, País Vasco, Spain",Pais_Vasco,34,2024-06-25 22:35:37,,88.0,5.1,,1010.0,15.0,34.0,,22.0,3.0,2024-06-25,22,noche,Buena
"Erandio, País Vasco, Spain",Pais_Vasco,34,2024-06-25 22:35:37,0.1,84.7,6.0,,1010.6,11.0,34.0,0.6,21.1,0.7,2024-06-25,22,noche,Buena
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,30,2024-06-25 22:35:37,,88.0,5.5,25.2,1010.0,12.0,30.0,1.6,22.0,3.0,2024-06-25,22,noche,Buena
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,26,2024-06-25 22:35:37,,88.0,6.0,26.4,1010.0,18.0,,4.1,22.0,3.0,2024-06-25,22,noche,Buena
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,26,2024-06-25 22:35:37,,88.0,6.9,25.6,1010.0,21.0,,,22.0,3.0,2024-06-25,22,noche,Buena
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-25 22:35:37,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1,2024-06-25,22,noche,-
"Torneo, Sevilla, Spain",Andalucia,61,2024-06-25 22:35:37,4.0,41.8,10.6,36.7,1005.6,21.0,61.0,2.6,31.1,8.0,2024-06-25,22,noche,Moderada
"Principes, Sevilla, Spain",Andalucia,61,2024-06-25 22:35:37,4.0,41.8,5.1,36.7,1005.6,17.0,61.0,3.6,31.1,8.0,2024-06-25,22,noche,Moderada
