names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,42,2024-06-26 21:37:45,0.1,51.5,8.7,35.0,1012.4,25.0,42.0,1.6,25.0,5.0,2024-06-26,21,noche,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,61,2024-06-26 21:37:45,0.1,53.0,13.8,,1012.0,23.0,61.0,,25.0,4.1,2024-06-26,21,noche,Moderada
"Sanchinarro, Madrid, Spain",Madrid,61,2024-06-26 21:37:45,,52.3,6.9,,1010.3,24.0,61.0,,23.5,1.6,2024-06-26,21,noche,Moderada
"Fernandez Ladreda, Madrid, Spain",Madrid,61,2024-06-26 21:37:45,,56.0,11.9,,1011.0,20.0,61.0,,23.0,5.1,2024-06-26,21,noche,Moderada
"Plaza De Castilla, Madrid, Spain",Madrid,53,2024-06-26 21:37:45,,51.0,14.2,,1012.5,23.0,53.0,,23.7,3.6,2024-06-26,21,noche,Moderada
"Cuatro Caminos, Madrid, Spain",Madrid,46,2024-06-26 21:37:45,,51.0,8.7,,1012.5,18.0,46.0,,23.7,3.6,2024-06-26,21,noche,Buena
"Castellana, Madrid, Spain",Madrid,42,2024-06-26 21:37:45,,51.0,8.7,,1012.5,25.0,42.0,,23.7,3.6,2024-06-26,21,noche,Buena
"Casa De Campo, Madrid, Spain",Madrid,39,2024-06-26 21:37:45,,51.0,3.7,39.0,1012.5,14.0,30.0,,23.7,3.6,2024-06-26,21,noche,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,35,2024-06-26 21:37:45,0.1,51.0,6.9,35.0,1012.5,15.0,25.0,1.6,23.7,3.6,2024-06-26,21,noche,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,34,2024-06-26 21:37:45,,50.8,4.6,,1011.4,15.0,34.0,,24.4,2.7,2024-06-26,21,noche,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-26 21:37:45,,88.0,,,1025.9,,,,7.7,1.7,2024-06-26,21,noche,-
"el atazar, Madrid, Spain",Madrid,50,2024-06-26 21:37:45,,53.6,1.4,40.3,1013.9,18.0,50.0,1.1,22.9,2.1,2024-06-26,21,noche,Buena
"algete, Madrid, Spain",Madrid,42,2024-06-26 21:37:45,,51.0,4.6,42.3,1009.4,,38.0,,25.0,4.0,2024-06-26,21,noche,Buena
"alcorcón, Madrid, Spain",Madrid,55,2024-06-26 21:37:45,,56.0,10.1,31.7,1011.0,,55.0,,23.0,5.1,2024-06-26,21,noche,Moderada
"valdemoro, Madrid, Spain",Madrid,42,2024-06-26 21:37:45,,50.0,4.2,39.8,1011.0,,42.0,,25.0,3.6,2024-06-26,21,noche,Buena
"torrejon de ardoz, Madrid, Spain",Madrid,42,2024-06-26 21:37:45,,44.0,7.4,35.8,1011.0,20.0,42.0,,26.0,2.0,2024-06-26,21,noche,Buena
"villa del prado, Madrid, Spain",Madrid,22,2024-06-26 21:37:45,,56.0,2.3,22.4,1011.0,17.0,5.0,1.1,23.0,5.1,2024-06-26,21,noche,Buena
"collado villalba, Madrid, Spain",Madrid,91,2024-06-26 21:37:45,,68.3,11.9,21.2,1009.9,,91.0,0.6,20.5,1.5,2024-06-26,21,noche,Moderada
"villarejo de salvanes, Madrid, Spain",Madrid,39,2024-06-26 21:37:45,,54.0,3.7,39.0,1014.3,,34.0,,25.5,3.3,2024-06-26,21,noche,Buena
"Mercado Central, Canarias, Spain",Canarias,46,2024-06-26 21:37:45,0.1,58.3,4.2,34.2,1011.0,26.0,46.0,0.6,22.4,10.8,2024-06-26,21,noche,Buena
"Lezcano, Canarias, Spain",Canarias,43,2024-06-26 21:37:45,0.1,58.3,5.1,43.1,1011.0,29.0,21.0,2.1,22.4,10.8,2024-06-26,21,noche,Buena
"La Loma-Telde, Canarias, Spain",Canarias,41,2024-06-26 21:37:45,0.1,58.3,4.6,41.1,1011.0,30.0,21.0,3.1,22.4,10.8,2024-06-26,21,noche,Buena
"Jinamar fase 3, Canarias, Spain",Canarias,40,2024-06-26 21:37:45,0.1,58.3,4.2,40.3,1011.0,27.0,9.0,2.1,22.4,10.8,2024-06-26,21,noche,Buena
"San Nicolas, Canarias, Spain",Canarias,39,2024-06-26 21:37:45,0.1,58.3,1.0,39.0,1011.0,17.0,34.0,0.6,22.4,10.8,2024-06-26,21,noche,Buena
"Nestor Alamo, Canarias, Spain",Canarias,38,2024-06-26 21:37:45,0.1,58.3,6.0,38.2,1011.0,22.0,38.0,0.6,22.4,10.8,2024-06-26,21,noche,Buena
"Barcelona, Catalunya, Spain",Catalunya,39,2024-06-26 21:37:45,0.1,75.5,5.5,39.0,1014.0,13.0,21.0,0.6,22.7,0.5,2024-06-26,21,noche,Buena
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,36,2024-06-26 21:37:45,0.1,76.6,10.1,36.2,1014.0,15.0,21.0,0.6,22.5,1.0,2024-06-26,21,noche,Buena
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,36,2024-06-26 21:37:45,0.1,76.6,10.1,36.2,1014.0,10.0,21.0,1.1,22.5,1.0,2024-06-26,21,noche,Buena
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,36,2024-06-26 21:37:45,0.1,75.5,11.5,36.2,1014.0,17.0,21.0,1.1,22.7,0.5,2024-06-26,21,noche,Buena
