names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,38,2024-07-01 17:09:31,0.1,32.0,5.1,37.8,1020.3,3.0,13.0,1.6,28.8,3.8,2024-07-01,17,tarde,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,53,2024-07-01 17:09:32,,32.0,2.3,,1019.1,18.0,53.0,,28.1,3.8,2024-07-01,17,tarde,Moderada
"Casa De Campo, Madrid, Spain",Madrid,45,2024-07-01 17:09:32,,28.7,1.4,45.1,1020.3,9.0,13.0,,28.8,2.2,2024-07-01,17,tarde,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,38,2024-07-01 17:09:33,0.1,28.7,4.6,37.8,1020.3,7.0,9.0,1.6,28.8,2.2,2024-07-01,17,tarde,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,38,2024-07-01 17:09:34,,28.7,6.0,,1020.3,20.0,38.0,,28.8,2.2,2024-07-01,17,tarde,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,38,2024-07-01 17:09:34,0.1,28.0,6.4,,1019.0,16.0,38.0,,30.0,2.3,2024-07-01,17,tarde,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,38,2024-07-01 17:09:35,,35.0,13.8,,1020.0,25.0,38.0,,27.0,1.8,2024-07-01,17,tarde,Buena
"Castellana, Madrid, Spain",Madrid,13,2024-07-01 17:09:36,,28.7,5.1,,1020.3,3.0,13.0,,28.8,2.2,2024-07-01,17,tarde,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,5,2024-07-01 17:09:36,,28.7,8.3,,1020.3,3.0,5.0,,28.8,2.2,2024-07-01,17,tarde,Buena
"Sanchinarro, Madrid, Spain",Madrid,5,2024-07-01 17:09:37,,30.7,1.9,,1017.9,1.0,5.0,,28.8,2.7,2024-07-01,17,tarde,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-01 17:09:38,,88.0,,,1025.9,,,,7.7,1.7,2024-07-01,17,tarde,-
"el atazar, Madrid, Spain",Madrid,31,2024-07-01 17:09:38,,49.6,1.0,30.5,1021.9,10.0,13.0,0.6,23.3,1.4,2024-07-01,17,tarde,Buena
"algete, Madrid, Spain",Madrid,38,2024-07-01 17:09:39,,42.5,1.0,36.2,1018.7,,38.0,,26.1,4.6,2024-07-01,17,tarde,Buena
"alcorcón, Madrid, Spain",Madrid,42,2024-07-01 17:09:40,,35.0,5.1,31.7,1020.0,,42.0,,27.0,1.8,2024-07-01,17,tarde,Buena
"valdemoro, Madrid, Spain",Madrid,33,2024-07-01 17:09:40,,35.0,5.1,32.9,1020.0,,25.0,,27.5,3.3,2024-07-01,17,tarde,Buena
"torrejon de ardoz, Madrid, Spain",Madrid,34,2024-07-01 17:09:41,,37.5,1.9,33.8,1019.0,10.0,21.0,,26.0,2.8,2024-07-01,17,tarde,Buena
"villa del prado, Madrid, Spain",Madrid,31,2024-07-01 17:09:42,,44.0,1.0,31.3,1016.0,10.0,17.0,1.6,25.5,1.0,2024-07-01,17,tarde,Buena
"collado villalba, Madrid, Spain",Madrid,122,2024-07-01 17:09:43,,45.7,5.1,25.6,1019.3,,122.0,0.6,24.4,0.2,2024-07-01,17,tarde,Dañina a la Salud de los Grupos Sensitivos
"villarejo de salvanes, Madrid, Spain",Madrid,9,2024-07-01 17:09:43,,39.3,2.3,17.9,1022.4,,9.0,,26.9,5.0,2024-07-01,17,tarde,Buena
"Mercado Central, Canarias, Spain",Canarias,21,2024-07-01 17:09:46,0.1,63.9,5.1,12.2,1013.1,18.0,21.0,0.6,25.0,14.4,2024-07-01,17,tarde,Buena
"Nestor Alamo, Canarias, Spain",Canarias,15,2024-07-01 17:09:46,0.1,63.9,2.8,14.7,1013.1,8.0,13.0,0.6,25.0,14.4,2024-07-01,17,tarde,Buena
"Lezcano, Canarias, Spain",Canarias,15,2024-07-01 17:09:47,0.1,63.9,3.7,15.1,1013.1,10.0,5.0,2.1,25.0,14.4,2024-07-01,17,tarde,Buena
"Jinamar fase 3, Canarias, Spain",Canarias,14,2024-07-01 17:09:48,0.1,63.9,3.2,13.9,1013.1,5.0,5.0,2.1,25.0,14.4,2024-07-01,17,tarde,Buena
"San Nicolas, Canarias, Spain",Canarias,13,2024-07-01 17:09:48,0.1,63.9,3.2,13.0,1013.1,7.0,13.0,0.6,25.0,14.4,2024-07-01,17,tarde,Buena
"La Loma-Telde, Canarias, Spain",Canarias,13,2024-07-01 17:09:49,0.1,69.2,4.2,12.6,1014.4,9.0,5.0,2.6,24.0,13.8,2024-07-01,17,tarde,Buena
"Barcelona (Eixample), Catalunya, Spain",Catalunya,34,2024-07-01 17:09:51,0.1,79.0,15.1,6.5,1015.3,17.0,34.0,1.1,23.6,,2024-07-01,17,tarde,Buena
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,34,2024-07-01 17:09:52,0.1,86.0,12.8,12.6,1018.3,16.0,34.0,0.6,20.5,0.2,2024-07-01,17,tarde,Buena
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,34,2024-07-01 17:09:53,0.1,69.5,15.6,9.4,1016.8,18.0,34.0,,25.0,1.5,2024-07-01,17,tarde,Buena
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,16,2024-07-01 17:09:53,0.1,86.0,8.7,15.9,1018.3,14.0,30.0,0.6,20.5,0.2,2024-07-01,17,tarde,Buena
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,15,2024-07-01 17:09:54,0.1,86.0,6.4,14.7,1018.3,12.0,30.0,1.1,20.5,0.2,2024-07-01,17,tarde,Buena
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,15,2024-07-01 17:09:55,0.1,86.0,8.3,14.7,1018.3,1.0,30.0,1.1,20.5,0.2,2024-07-01,17,tarde,Buena
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,13,2024-07-01 17:09:55,0.1,72.2,13.3,10.2,1016.3,13.0,,2.1,24.4,1.7,2024-07-01,17,tarde,Buena
"Barcelona, Catalunya, Spain",Catalunya,-,2024-07-01 17:09:56,0.1,86.0,4.6,30.1,1018.3,12.0,30.0,0.6,20.5,0.2,2024-07-01,17,tarde,-
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,-,2024-07-01 17:09:57,0.1,79.0,17.9,25.0,1015.3,17.0,,,23.6,,2024-07-01,17,tarde,-
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,21,2024-07-01 17:09:59,,75.0,2.3,,1024.0,21.0,13.0,,21.5,4.8,2024-07-01,17,tarde,Buena
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,20,2024-07-01 17:10:00,,75.0,3.2,19.5,1024.0,6.0,13.0,2.6,21.5,4.8,2024-07-01,17,tarde,Buena
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,18,2024-07-01 17:10:00,,75.0,6.0,17.9,1024.0,6.0,,3.1,21.5,4.8,2024-07-01,17,tarde,Buena
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-01 17:10:01,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1,2024-07-01,17,tarde,-
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,17,2024-07-01 17:10:02,,75.0,3.2,17.1,1024.0,9.0,,,21.5,4.8,2024-07-01,17,tarde,Buena
"Erandio, País Vasco, Spain",Pais_Vasco,17,2024-07-01 17:10:02,0.1,78.0,12.4,,1024.6,6.0,17.0,1.1,21.1,2.6,2024-07-01,17,tarde,Buena
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,16,2024-07-01 17:10:03,0.1,78.0,6.0,,1024.6,16.0,9.0,1.6,21.1,2.6,2024-07-01,17,tarde,Buena
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,13,2024-07-01 17:10:04,0.1,75.0,3.7,,1024.0,8.0,13.0,1.1,21.5,4.8,2024-07-01,17,tarde,Buena
"Basauri, País Vasco, Spain",Pais_Vasco,13,2024-07-01 17:10:05,,52.0,4.2,,1024.0,5.0,13.0,1.6,20.1,9.6,2024-07-01,17,tarde,Buena
"Alonsotegi, País Vasco, Spain",Pais_Vasco,6,2024-07-01 17:10:05,,75.0,3.2,,1024.0,6.0,70.0,,21.5,4.8,2024-07-01,17,tarde,Buena
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-07-01 17:10:06,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1,2024-07-01,17,tarde,-
"Torneo, Sevilla, Spain",Andalucia,47,2024-07-01 17:10:08,4.0,46.8,6.0,18.7,1016.4,16.0,47.0,2.1,29.6,4.6,2024-07-01,17,tarde,Buena
"Principes, Sevilla, Spain",Andalucia,47,2024-07-01 17:10:09,4.0,46.8,2.3,15.2,1016.4,14.0,47.0,3.6,29.6,4.6,2024-07-01,17,tarde,Buena
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,47,2024-07-01 17:10:10,4.0,45.2,0.5,20.4,1016.2,15.0,47.0,1.6,29.4,1.0,2024-07-01,17,tarde,Buena
"Ranilla, Sevilla, Spain",Andalucia,22,2024-07-01 17:10:10,4.0,44.8,2.8,21.4,1015.7,7.0,22.0,1.6,30.4,4.0,2024-07-01,17,tarde,Buena
"Santa Clara, Sevilla, Spain",Andalucia,22,2024-07-01 17:10:11,4.0,45.0,2.8,21.4,1015.7,7.0,22.0,1.1,30.4,3.8,2024-07-01,17,tarde,Buena
"Bermejales, Sevilla, Spain",Andalucia,20,2024-07-01 17:10:12,4.0,45.0,2.3,19.7,1015.7,17.0,30.0,1.6,30.4,3.8,2024-07-01,17,tarde,Buena
