names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,43,2024-07-02 13:02:32,0.1,30.3,6.0,42.7,1019.3,8.0,25.0,1.6,30.0,3.0,2024-07-02,13,mediodia,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,68,2024-07-02 13:02:32,0.1,29.0,3.7,42.7,1019.3,25.0,68.0,1.6,29.6,2.3,2024-07-02,13,mediodia,Moderada
"Casa De Campo, Madrid, Spain",Madrid,41,2024-07-02 13:02:32,,29.0,1.4,40.7,1019.3,10.0,30.0,,29.6,2.3,2024-07-02,13,mediodia,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-07-02 13:02:32,,29.0,7.4,,1019.3,12.0,34.0,,29.6,2.3,2024-07-02,13,mediodia,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,30,2024-07-02 13:02:32,,30.3,2.3,,1018.1,10.0,30.0,,30.0,3.0,2024-07-02,13,mediodia,Buena
"Castellana, Madrid, Spain",Madrid,25,2024-07-02 13:02:32,,29.0,6.0,,1019.3,8.0,25.0,,29.6,2.3,2024-07-02,13,mediodia,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,17,2024-07-02 13:02:32,,29.0,7.8,,1019.3,11.0,17.0,,29.6,2.3,2024-07-02,13,mediodia,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,13,2024-07-02 13:02:32,,27.0,8.7,,1019.0,6.0,13.0,,31.0,2.0,2024-07-02,13,mediodia,Buena
"Sanchinarro, Madrid, Spain",Madrid,9,2024-07-02 13:02:32,,29.6,2.3,,1016.9,4.0,9.0,,30.0,2.0,2024-07-02,13,mediodia,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,5,2024-07-02 13:02:32,0.1,27.5,9.2,,1018.5,2.0,5.0,,30.5,2.0,2024-07-02,13,mediodia,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-02 13:02:32,,88.0,,,1025.9,,,,7.7,1.7,2024-07-02,13,mediodia,-
