names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,22,2024-07-02 22:09:16,0.1,36.8,2.8,21.6,1018.9,1.0,9.0,1.6,27.2,7.7,2024-07-02,22,noche,Buena
"Sanchinarro, Madrid, Spain",Madrid,34,2024-07-02 22:09:17,,36.7,2.3,,1016.4,11.0,34.0,,26.9,8.0,2024-07-02,22,noche,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,34,2024-07-02 22:09:17,,32.0,11.0,,1018.0,12.0,34.0,,29.0,3.0,2024-07-02,22,noche,Buena
"Casa De Campo, Madrid, Spain",Madrid,26,2024-07-02 22:09:18,,34.5,2.3,26.0,1018.8,3.0,5.0,,27.2,7.7,2024-07-02,22,noche,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,22,2024-07-02 22:09:19,0.1,34.5,5.1,21.6,1018.8,3.0,5.0,1.6,27.2,7.7,2024-07-02,22,noche,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,13,2024-07-02 22:09:19,,34.5,7.4,,1018.9,7.0,13.0,,27.2,7.7,2024-07-02,22,noche,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,13,2024-07-02 22:09:20,0.1,32.0,13.8,,1018.0,9.0,13.0,,28.5,3.6,2024-07-02,22,noche,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,9,2024-07-02 22:09:21,,36.8,3.2,,1017.6,7.0,9.0,,27.1,7.3,2024-07-02,22,noche,Buena
"Castellana, Madrid, Spain",Madrid,9,2024-07-02 22:09:21,,34.5,2.8,,1018.9,1.0,9.0,,27.2,7.7,2024-07-02,22,noche,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,5,2024-07-02 22:09:22,,34.5,4.6,,1018.9,5.0,5.0,,27.2,7.7,2024-07-02,22,noche,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-02 22:09:23,,88.0,,,1025.9,,,,7.7,1.7,2024-07-02,22,noche,-
"el atazar, Madrid, Spain",Madrid,25,2024-07-02 22:09:23,,43.5,0.5,24.8,1020.6,3.0,5.0,1.1,24.1,1.0,2024-07-02,22,noche,Buena
"algete, Madrid, Spain",Madrid,27,2024-07-02 22:09:24,,37.5,1.0,26.9,1016.0,,13.0,,28.2,10.0,2024-07-02,22,noche,Buena
"alcorcón, Madrid, Spain",Madrid,38,2024-07-02 22:09:25,,28.0,2.3,37.8,1017.0,,17.0,,30.0,2.5,2024-07-02,22,noche,Buena
"valdemoro, Madrid, Spain",Madrid,48,2024-07-02 22:09:26,,26.0,3.7,48.4,1016.5,,17.0,,31.5,4.3,2024-07-02,22,noche,Buena
