names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,22,2024-06-28T15:42:12+09:00,,96.5,2.3,22.0,1018.0,2.0,,2.6,19.0,0.7
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,21,2024-06-28T15:57:46+09:00,0.1,96.5,4.2,,1018.0,9.0,21.0,0.6,19.0,0.7
"Basauri, País Vasco, Spain",Pais_Vasco,21,2024-06-28T15:57:48+09:00,,67.0,3.7,,1017.9,9.0,21.0,1.1,17.7,1.7
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,17,2024-06-28T15:57:48+09:00,,96.5,2.3,16.3,1018.0,6.0,17.0,1.6,19.0,0.7
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,14,2024-06-28T15:53:53+09:00,,96.5,2.3,13.5,1018.0,9.0,,,19.0,0.7
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Torneo, Sevilla, Spain",Andalucia,29,2024-06-28T15:55:55+09:00,4.0,80.8,17.4,16.3,1013.3,14.0,29.0,2.1,18.9,0.5
"Principes, Sevilla, Spain",Andalucia,29,2024-06-28T16:07:46+09:00,4.0,80.8,13.3,16.3,1013.3,15.0,29.0,3.1,18.9,0.5
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,29,2024-06-28T16:04:48+09:00,4.0,82.0,5.5,17.8,1013.9,14.0,29.0,1.1,18.8,1.0
"Ranilla, Sevilla, Spain",Andalucia,20,2024-06-28T15:55:44+09:00,4.0,77.8,20.6,18.8,1012.7,8.0,20.0,2.1,20.0,1.1
"Santa Clara, Sevilla, Spain",Andalucia,20,2024-06-28T15:55:54+09:00,4.0,77.8,13.8,18.8,1012.7,8.0,20.0,2.1,20.0,1.1
"Bermejales, Sevilla, Spain",Andalucia,20,2024-06-28T15:55:50+09:00,4.0,77.8,12.4,18.5,1012.7,11.0,20.0,1.6,20.0,1.1
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,65,2024-06-28T16:07:11+09:00,2.8,93.0,8.5,0.9,1028.0,27.0,65.0,0.6,13.3,2.0
"Lope de Vega, Vigo, Galicia, Spain",Galicia,42,2024-06-28T15:55:52+09:00,1.0,74.0,9.7,8.4,1009.7,8.0,42.0,0.7,19.8,0.1
"Coia, Vigo, Galicia, Spain",Galicia,42,2024-06-28T15:55:56+09:00,1.0,74.0,7.9,13.5,1009.7,14.0,42.0,1.6,19.8,0.1
"Estación 1, Este, Galicia, Spain",Galicia,22,2024-06-28T15:55:49+09:00,1.0,74.0,6.9,13.5,1009.7,14.0,22.0,0.6,19.8,0.1
Worcester Summer St,Galicia,24,2024-06-28T15:38:14+09:00,1.2,62.0,1.0,24.1,1014.7,6.0,11.0,0.2,14.7,2.2
"Tualatin I-5 Roadway, Oregon, USA",Galicia,21,2024-06-28T15:30:52+09:00,1.5,62.0,7.5,16.6,1016.9,,21.0,,16.8,4.9
"Sensor Box 5, Oregon, USA",Galicia,20,2024-06-28T15:30:52+09:00,0.8,75.0,2.5,19.6,29.56,,15.0,0.6,15.8,5.9
"Portland, Oregon, USA",Galicia,12,2024-06-28T15:18:23+09:00,0.1,75.0,2.5,0.1,1017.1,,12.0,0.6,15.5,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2023-12-28T16:11:12+09:00,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Rocade CDG, PACA, France",Galicia,54,2024-06-28T15:52:49+09:00,,78.0,19.0,,1016.0,34.0,54.0,,23.5,1.0
"Avignon Mairie, PACA, France",Galicia,45,2024-06-28T16:09:10+09:00,,82.7,9.8,16.6,1015.9,22.0,45.0,,23.7,0.5
"Le Pontet, PACA, France",Galicia,45,2024-06-28T15:10:07+09:00,,78.0,13.9,3.0,1016.0,18.0,45.0,,23.0,1.0
"Avignon_semard, PACA, France",Galicia,33,2023-02-06T21:14:52+09:00,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
"Avenue Des Champs Elysees, Paris",Galicia,84,2024-06-27T18:11:49+09:00,,56.0,11.2,,1011.9,,84.0,,27.7,1.0
