names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,57,2024-06-26T23:06:44+09:00,0.1,62.0,7.8,38.6,1011.6,9.0,57.0,1.6,26.6,9.0
"Plaza Elíptica, Madrid, Spain",Madrid,65,2024-06-26T23:02:47+09:00,0.1,43.5,9.2,,1012.0,32.0,65.0,,28.5,5.1
"Fernandez Ladreda, Madrid, Spain",Madrid,65,2024-06-26T23:41:55+09:00,,50.0,9.2,,1011.0,32.0,65.0,,26.0,5.1
"Plaza De Castilla, Madrid, Spain",Madrid,63,2024-06-26T23:41:54+09:00,,52.6,4.6,,1011.9,31.0,63.0,,25.7,6.0
"Castellana, Madrid, Spain",Madrid,57,2024-06-26T23:41:52+09:00,,52.6,7.8,,1011.9,9.0,57.0,,25.7,6.0
"Sanchinarro, Madrid, Spain",Madrid,55,2024-06-26T23:41:51+09:00,,53.0,4.2,,1009.7,24.0,55.0,,26.1,5.6
"Mendez Alvaro, Madrid, Spain",Madrid,50,2024-06-26T23:41:53+09:00,,63.1,2.8,,1011.1,27.0,50.0,,24.4,4.8
"Cuatro Caminos, Madrid, Spain",Madrid,50,2024-06-26T23:41:48+09:00,,52.6,6.0,,1011.9,28.0,50.0,,25.7,6.0
"Casa De Campo, Madrid, Spain",Madrid,45,2024-06-26T23:41:54+09:00,,52.6,2.8,45.1,1011.9,23.0,38.0,,25.7,6.0
"Escuelas Aguirre, Madrid, Spain",Madrid,39,2024-06-26T23:42:52+09:00,0.1,52.6,6.0,38.6,1011.9,27.0,34.0,1.6,25.7,6.0
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,43,2024-06-26T23:42:51+09:00,,54.0,1.4,43.1,1013.8,13.0,17.0,0.6,25.3,0.6
"algete, Madrid, Spain",Madrid,45,2024-06-26T23:41:55+09:00,,56.0,2.3,45.1,1009.0,,38.0,,25.9,8.5
"alcorcón, Madrid, Spain",Madrid,55,2024-06-26T23:41:57+09:00,,50.0,2.8,39.0,1011.0,,55.0,,26.0,5.1
