names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,70,2024-06-26T05:09:47+09:00,0.1,60.0,11.5,48.4,1009.9,42.0,70.0,1.6,28.8,1.0
"Cuatro Caminos, Madrid, Spain",Madrid,119,2024-06-26T05:05:48+09:00,,60.0,25.6,,1009.9,51.0,119.0,,26.6,1.0
"Sanchinarro, Madrid, Spain",Madrid,91,2024-06-26T05:05:53+09:00,,62.0,12.4,,1007.6,41.0,91.0,,26.1,3.2
"Plaza De Castilla, Madrid, Spain",Madrid,89,2024-06-26T05:05:49+09:00,,60.0,16.5,,1009.9,43.0,89.0,,26.6,1.0
"Castellana, Madrid, Spain",Madrid,70,2024-06-26T05:05:53+09:00,,60.0,11.5,,1009.9,42.0,70.0,,26.6,1.0
"Fernandez Ladreda, Madrid, Spain",Madrid,50,2024-06-26T04:51:01+09:00,,34.0,17.9,,1009.0,19.0,50.0,,30.5,0.5
"Casa De Campo, Madrid, Spain",Madrid,44,2024-06-26T05:05:48+09:00,,60.0,3.7,43.5,1009.9,6.0,5.0,,26.6,1.0
"Escuelas Aguirre, Madrid, Spain",Madrid,40,2024-06-26T05:05:48+09:00,0.1,60.0,12.8,40.3,1009.9,30.0,50.0,1.6,26.6,1.0
"Plaza Elíptica, Madrid, Spain",Madrid,30,2024-06-26T05:05:49+09:00,0.1,34.0,18.8,,1009.0,15.0,30.0,,30.5,0.5
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-06-26T05:05:52+09:00,,40.0,8.3,,1008.6,7.0,25.0,,28.8,1.0
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,42,2024-06-26T04:56:57+09:00,,57.8,1.4,41.5,1011.8,12.0,42.0,1.1,25.2,0.3
"algete, Madrid, Spain",Madrid,64,2024-06-26T04:56:49+09:00,,51.0,3.7,63.6,1006.1,,53.0,,26.0,3.4
"alcorcón, Madrid, Spain",Madrid,46,2024-06-26T04:56:52+09:00,,34.0,4.6,42.3,1009.0,,46.0,,30.5,0.5
"valdemoro, Madrid, Spain",Madrid,42,2024-06-26T04:56:57+09:00,,40.0,6.0,41.9,1008.0,,42.0,,30.5,1.0
"torrejon de ardoz, Madrid, Spain",Madrid,57,2024-06-26T04:56:55+09:00,,44.5,7.8,45.5,1008.0,22.0,57.0,,26.5,4.8
"villa del prado, Madrid, Spain",Madrid,59,2024-06-26T04:56:48+09:00,,55.0,1.4,46.3,1003.0,19.0,59.0,1.1,26.1,1.0
"collado villalba, Madrid, Spain",Madrid,42,2024-06-26T04:56:50+09:00,,43.7,6.9,38.2,1006.6,,42.0,0.6,27.5,0.5
"villarejo de salvanes, Madrid, Spain",Madrid,44,2024-06-26T04:56:50+09:00,,39.3,2.8,44.3,1011.9,,34.0,,29.8,2.3
"San Nicolas, Canarias, Spain",Canarias,25,2024-06-26T05:20:50+09:00,0.1,63.3,1.0,20.4,1009.8,12.0,25.0,0.6,22.1,12.3
"Mercado Central, Canarias, Spain",Canarias,25,2024-06-26T05:20:50+09:00,0.1,63.3,2.3,15.1,1009.8,13.0,25.0,0.6,22.1,12.3
