names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,46,2024-06-26T18:50:53+09:00,0.1,51.6,8.3,28.5,1013.1,28.0,46.0,1.6,24.9,3.7
"Plaza De Castilla, Madrid, Spain",Madrid,57,2024-06-26T18:47:52+09:00,,50.0,6.0,,1013.1,28.0,57.0,,24.5,3.7
"Castellana, Madrid, Spain",Madrid,46,2024-06-26T18:47:52+09:00,,50.0,8.3,,1013.1,28.0,46.0,,24.5,3.7
"Casa De Campo, Madrid, Spain",Madrid,42,2024-06-26T18:47:50+09:00,,50.0,6.9,32.1,1013.1,28.0,42.0,,24.5,3.7
"Plaza Elíptica, Madrid, Spain",Madrid,38,2024-06-26T18:47:52+09:00,0.1,47.0,10.1,,1012.0,24.0,38.0,,26.0,2.3
"Fernandez Ladreda, Madrid, Spain",Madrid,38,2024-06-26T18:16:55+09:00,,47.0,14.7,,1012.0,20.0,38.0,,26.0,2.5
"Escuelas Aguirre, Madrid, Spain",Madrid,29,2024-06-26T18:47:49+09:00,0.1,50.0,7.4,28.5,1013.1,20.0,17.0,1.6,24.5,3.7
"Mendez Alvaro, Madrid, Spain",Madrid,27,2024-06-26T18:47:51+09:00,,51.6,4.6,,1011.8,27.0,17.0,,24.9,3.5
"Cuatro Caminos, Madrid, Spain",Madrid,26,2024-06-26T18:47:52+09:00,,50.0,9.2,,1013.1,26.0,34.0,,24.5,3.7
"Sanchinarro, Madrid, Spain",Madrid,25,2024-06-26T18:47:52+09:00,,51.2,6.0,,1010.7,15.0,25.0,,24.8,4.7
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,11,2024-06-26T18:17:52+09:00,,65.0,1.4,10.6,1014.0,11.0,5.0,0.6,24.4,0.1
"algete, Madrid, Spain",Madrid,38,2024-06-26T18:16:56+09:00,,55.0,6.0,22.0,1009.6,,38.0,,25.0,2.0
"alcorcón, Madrid, Spain",Madrid,46,2024-06-26T18:16:59+09:00,,47.0,6.4,22.8,1012.0,,46.0,,26.0,2.5
"valdemoro, Madrid, Spain",Madrid,38,2024-06-26T18:16:59+09:00,,47.0,4.6,24.8,1012.0,,38.0,,26.0,2.5
"torrejon de ardoz, Madrid, Spain",Madrid,46,2024-06-26T18:16:57+09:00,,44.0,6.9,25.2,1011.0,12.0,46.0,,26.0,2.0
"villa del prado, Madrid, Spain",Madrid,34,2024-06-26T14:03:03+09:00,,73.0,2.8,27.7,1005.6,10.0,34.0,1.1,20.0,1.0
"collado villalba, Madrid, Spain",Madrid,38,2024-06-26T18:17:52+09:00,,64.5,13.3,15.5,1009.0,,38.0,0.6,23.0,0.7
"villarejo de salvanes, Madrid, Spain",Madrid,28,2024-06-26T18:16:55+09:00,,50.0,3.7,27.7,1015.7,,21.0,,26.1,2.5
"Mercado Central, Canarias, Spain",Canarias,38,2024-06-26T18:56:51+09:00,0.1,58.4,2.8,17.5,1011.6,26.0,38.0,20.3,22.9,8.7
