names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,30,2024-06-29T05:06:34+09:00,0.1,62.0,5.1,28.9,1015.9,8.0,30.0,1.6,20.0,7.0
"Plaza Elíptica, Madrid, Spain",Madrid,46,2024-06-29T05:03:48+09:00,0.1,56.0,8.7,,1014.5,16.0,46.0,,20.0,4.8
"Casa De Campo, Madrid, Spain",Madrid,38,2024-06-29T05:03:48+09:00,,62.0,1.9,37.8,1015.9,10.0,21.0,,19.4,3.0
"Fernandez Ladreda, Madrid, Spain",Madrid,34,2024-06-29T04:30:53+09:00,,56.0,8.3,,1015.0,16.0,34.0,,20.0,5.1
"Castellana, Madrid, Spain",Madrid,30,2024-06-29T05:03:51+09:00,,62.0,5.1,,1015.9,8.0,30.0,,19.4,3.0
"Escuelas Aguirre, Madrid, Spain",Madrid,29,2024-06-29T05:03:48+09:00,0.1,62.0,8.7,28.9,1015.9,3.0,5.0,1.6,19.4,3.0
"Cuatro Caminos, Madrid, Spain",Madrid,21,2024-06-29T05:03:48+09:00,,62.0,4.2,,1015.9,11.0,21.0,,19.4,3.0
"Plaza De Castilla, Madrid, Spain",Madrid,21,2024-06-29T05:03:48+09:00,,62.0,8.7,,1015.9,12.0,21.0,,19.4,3.0
"Mendez Alvaro, Madrid, Spain",Madrid,9,2024-06-29T05:03:48+09:00,,59.0,2.3,,1014.5,7.0,9.0,,20.0,7.0
"Sanchinarro, Madrid, Spain",Madrid,5,2024-06-29T05:03:49+09:00,,64.0,5.1,,1013.4,1.0,5.0,,19.4,4.0
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,55,2024-06-29T05:34:00+09:00,,69.6,1.4,39.8,1014.7,30.0,55.0,1.1,20.0,0.2
"algete, Madrid, Spain",Madrid,39,2024-06-29T05:32:07+09:00,,56.3,3.7,39.0,1012.5,,38.0,,21.1,5.5
"alcorcón, Madrid, Spain",Madrid,33,2024-06-29T05:32:09+09:00,,63.0,3.7,32.9,1015.0,,13.0,,19.0,4.6
"valdemoro, Madrid, Spain",Madrid,38,2024-06-29T04:28:57+09:00,,52.0,1.9,35.8,1014.0,,38.0,,21.0,5.1
"torrejon de ardoz, Madrid, Spain",Madrid,53,2024-06-28T20:08:15+09:00,,34.0,6.9,36.6,1014.5,21.0,53.0,,27.0,2.0
"villa del prado, Madrid, Spain",Madrid,31,2024-06-29T04:31:01+09:00,,56.0,1.4,30.9,1015.0,7.0,13.0,1.1,20.0,5.1
"collado villalba, Madrid, Spain",Madrid,35,2024-06-29T05:33:55+09:00,,68.6,4.2,34.6,1012.3,,21.0,0.6,18.8,0.2
"villarejo de salvanes, Madrid, Spain",Madrid,33,2024-06-29T04:29:08+09:00,,55.0,2.8,33.3,1016.9,,21.0,,21.6,6.3
"Mercado Central, Canarias, Spain",Canarias,46,2024-06-29T05:34:54+09:00,0.1,78.5,5.5,23.6,1014.1,24.0,46.0,0.6,21.8,11.3
"San Nicolas, Canarias, Spain",Canarias,34,2024-06-29T05:34:53+09:00,0.1,78.5,1.0,27.3,1014.1,15.0,34.0,0.6,21.8,11.3
"Nestor Alamo, Canarias, Spain",Canarias,34,2024-06-29T05:34:53+09:00,0.1,78.5,6.0,24.8,1014.1,18.0,34.0,0.6,21.8,11.3
"Lezcano, Canarias, Spain",Canarias,34,2024-06-29T05:34:54+09:00,0.1,78.5,2.8,30.1,1014.1,20.0,34.0,2.1,21.8,11.3
"La Loma-Telde, Canarias, Spain",Canarias,29,2024-06-29T05:33:57+09:00,0.1,78.5,2.8,28.5,1014.1,23.0,13.0,2.6,21.8,11.3
"Jinamar fase 3, Canarias, Spain",Canarias,21,2024-06-29T05:34:54+09:00,0.1,78.5,2.8,28.9,1014.1,12.0,21.0,2.1,21.8,11.3
"Barcelona, Catalunya, Spain",Catalunya,42,2024-06-29T05:22:09+09:00,0.1,73.5,2.8,41.9,1016.0,11.0,21.0,0.6,22.2,4.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,39,2024-06-29T05:33:55+09:00,0.1,74.3,4.6,39.4,1016.0,17.0,21.0,0.6,22.2,4.6
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,39,2024-06-29T05:33:59+09:00,0.1,74.3,8.7,38.6,1016.0,15.0,21.0,1.1,22.2,4.6
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,39,2024-06-29T05:34:04+09:00,0.1,74.3,4.2,38.6,1016.0,22.0,21.0,1.1,22.2,4.6
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,38,2024-06-29T05:34:02+09:00,,75.3,2.3,38.2,1015.2,22.0,,,23.8,6.3
"Barcelona (Eixample), Catalunya, Spain",Catalunya,35,2024-06-29T05:33:56+09:00,0.1,79.6,9.2,35.4,1013.4,19.0,34.0,1.1,24.0,
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,34,2024-06-29T05:33:57+09:00,0.1,74.3,11.0,33.8,1016.0,19.0,34.0,0.6,22.2,4.6
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,34,2024-06-29T05:34:04+09:00,0.1,71.0,11.0,33.8,1014.4,17.0,,0.6,25.0,8.7
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,22,2024-06-29T05:34:03+09:00,0.1,79.6,2.3,25.0,1013.4,22.0,,,24.0,
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,53,2024-06-29T05:46:13+09:00,,100.0,1.9,,1016.0,20.0,53.0,,19.0,2.0
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,34,2024-06-29T05:46:12+09:00,,100.0,2.3,18.7,1016.0,14.0,34.0,1.6,19.0,2.0
"Basauri, País Vasco, Spain",Pais_Vasco,34,2024-06-29T05:46:12+09:00,,57.7,3.7,,1016.1,14.0,34.0,1.1,19.0,3.0
