names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,22,2024-06-26T15:34:07+09:00,0.1,63.3,7.4,21.6,1012.7,11.0,21.0,1.6,21.6,3.5
"Plaza De Castilla, Madrid, Spain",Madrid,63,2024-06-26T15:36:54+09:00,,60.0,16.5,,1012.7,24.0,63.0,,21.6,3.0
"Escuelas Aguirre, Madrid, Spain",Madrid,42,2024-06-26T15:36:51+09:00,0.1,60.0,11.0,21.6,1012.8,21.0,42.0,1.6,21.6,3.0
"Sanchinarro, Madrid, Spain",Madrid,42,2024-06-26T15:36:53+09:00,,62.3,9.6,,1010.5,15.0,42.0,,22.5,2.0
"Mendez Alvaro, Madrid, Spain",Madrid,34,2024-06-26T15:36:52+09:00,,62.8,7.8,,1011.5,18.0,34.0,,21.6,2.2
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-06-26T15:36:44+09:00,,60.0,8.7,,1012.7,17.0,34.0,,21.6,3.0
"Plaza Elíptica, Madrid, Spain",Madrid,34,2024-06-26T15:23:50+09:00,0.1,64.0,22.0,,1011.0,16.0,34.0,,21.0,3.6
"Fernandez Ladreda, Madrid, Spain",Madrid,30,2024-06-26T15:36:44+09:00,,60.0,11.5,,1011.5,15.0,30.0,,21.5,3.3
"Casa De Campo, Madrid, Spain",Madrid,28,2024-06-26T15:36:53+09:00,,60.0,6.0,27.7,1012.7,14.0,25.0,,21.6,3.0
"Castellana, Madrid, Spain",Madrid,21,2024-06-26T15:36:53+09:00,,60.0,7.4,,1012.7,11.0,21.0,,21.6,3.0
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,17,2024-06-26T15:36:49+09:00,,89.0,1.0,16.7,1013.7,3.0,5.0,4.1,17.4,0.1
"algete, Madrid, Spain",Madrid,42,2024-06-26T15:36:47+09:00,,73.3,2.8,27.7,1009.2,,42.0,,21.3,0.3
