names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,42,2024-06-27T04:12:43+09:00,0.1,51.5,8.7,35.0,1012.4,25.0,42.0,1.6,25.0,5.0
"Plaza Elíptica, Madrid, Spain",Madrid,61,2024-06-27T04:08:53+09:00,0.1,53.0,13.8,,1012.0,23.0,61.0,,25.0,4.1
"Sanchinarro, Madrid, Spain",Madrid,61,2024-06-27T04:32:50+09:00,,52.3,6.9,,1010.3,24.0,61.0,,23.5,1.6
"Fernandez Ladreda, Madrid, Spain",Madrid,61,2024-06-27T04:32:47+09:00,,56.0,11.9,,1011.0,20.0,61.0,,23.0,5.1
"Plaza De Castilla, Madrid, Spain",Madrid,53,2024-06-27T04:32:50+09:00,,51.0,14.2,,1012.5,23.0,53.0,,23.7,3.6
"Cuatro Caminos, Madrid, Spain",Madrid,46,2024-06-27T04:32:47+09:00,,51.0,8.7,,1012.5,18.0,46.0,,23.7,3.6
"Castellana, Madrid, Spain",Madrid,42,2024-06-27T04:32:50+09:00,,51.0,8.7,,1012.5,25.0,42.0,,23.7,3.6
"Casa De Campo, Madrid, Spain",Madrid,39,2024-06-27T04:32:46+09:00,,51.0,3.7,39.0,1012.5,14.0,30.0,,23.7,3.6
"Escuelas Aguirre, Madrid, Spain",Madrid,35,2024-06-27T04:32:44+09:00,0.1,51.0,6.9,35.0,1012.5,15.0,25.0,1.6,23.7,3.6
"Mendez Alvaro, Madrid, Spain",Madrid,34,2024-06-27T04:32:50+09:00,,50.8,4.6,,1011.4,15.0,34.0,,24.4,2.7
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,50,2024-06-27T04:32:50+09:00,,53.6,1.4,40.3,1013.9,18.0,50.0,1.1,22.9,2.1
"algete, Madrid, Spain",Madrid,42,2024-06-27T04:32:50+09:00,,51.0,4.6,42.3,1009.4,,38.0,,25.0,4.0
"alcorcón, Madrid, Spain",Madrid,55,2024-06-27T04:32:50+09:00,,56.0,10.1,31.7,1011.0,,55.0,,23.0,5.1
"valdemoro, Madrid, Spain",Madrid,42,2024-06-27T04:32:46+09:00,,50.0,4.2,39.8,1011.0,,42.0,,25.0,3.6
"torrejon de ardoz, Madrid, Spain",Madrid,42,2024-06-27T04:32:44+09:00,,44.0,7.4,35.8,1011.0,20.0,42.0,,26.0,2.0
"villa del prado, Madrid, Spain",Madrid,22,2024-06-27T04:32:51+09:00,,56.0,2.3,22.4,1011.0,17.0,5.0,1.1,23.0,5.1
"collado villalba, Madrid, Spain",Madrid,91,2024-06-27T04:32:51+09:00,,68.3,11.9,21.2,1009.9,,91.0,0.6,20.5,1.5
"villarejo de salvanes, Madrid, Spain",Madrid,39,2024-06-27T04:32:49+09:00,,54.0,3.7,39.0,1014.3,,34.0,,25.5,3.3
"Mercado Central, Canarias, Spain",Canarias,46,2024-06-27T04:32:47+09:00,0.1,58.3,4.2,34.2,1011.0,26.0,46.0,0.6,22.4,10.8
"Lezcano, Canarias, Spain",Canarias,43,2024-06-27T04:32:45+09:00,0.1,58.3,5.1,43.1,1011.0,29.0,21.0,2.1,22.4,10.8
"La Loma-Telde, Canarias, Spain",Canarias,41,2024-06-27T04:32:50+09:00,0.1,58.3,4.6,41.1,1011.0,30.0,21.0,3.1,22.4,10.8
"Jinamar fase 3, Canarias, Spain",Canarias,40,2024-06-27T04:32:44+09:00,0.1,58.3,4.2,40.3,1011.0,27.0,9.0,2.1,22.4,10.8
"San Nicolas, Canarias, Spain",Canarias,39,2024-06-27T04:18:12+09:00,0.1,58.3,1.0,39.0,1011.0,17.0,34.0,0.6,22.4,10.8
"Nestor Alamo, Canarias, Spain",Canarias,38,2024-06-27T04:31:57+09:00,0.1,58.3,6.0,38.2,1011.0,22.0,38.0,0.6,22.4,10.8
"Barcelona, Catalunya, Spain",Catalunya,39,2024-06-27T04:19:41+09:00,0.1,75.5,5.5,39.0,1014.0,13.0,21.0,0.6,22.7,0.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,36,2024-06-27T04:31:55+09:00,0.1,76.6,10.1,36.2,1014.0,15.0,21.0,0.6,22.5,1.0
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,36,2024-06-27T04:31:50+09:00,0.1,76.6,10.1,36.2,1014.0,10.0,21.0,1.1,22.5,1.0
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,36,2024-06-27T04:19:41+09:00,0.1,75.5,11.5,36.2,1014.0,17.0,21.0,1.1,22.7,0.5
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,34,2024-06-27T04:19:39+09:00,,81.5,4.6,33.8,1012.8,18.0,,,23.3,1.5
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,31,2024-06-27T04:19:37+09:00,0.1,75.5,16.5,31.3,1014.0,14.0,25.0,0.6,22.7,0.5
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,31,2024-06-27T03:32:57+09:00,0.1,79.0,22.4,31.3,1011.8,9.0,,2.6,24.1,4.0
"Barcelona (Eixample), Catalunya, Spain",Catalunya,29,2024-06-27T04:32:48+09:00,0.1,84.6,17.0,29.3,1011.5,14.0,25.0,1.1,23.3,
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,20,2024-06-27T04:19:37+09:00,0.1,84.5,5.1,25.0,1011.5,20.0,,,23.3,
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,65,2024-06-27T04:32:53+09:00,0.1,89.3,9.2,,1011.7,38.0,65.0,0.6,20.3,0.3
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,59,2024-06-27T03:45:15+09:00,,83.0,2.8,,1011.5,21.0,59.0,,22.0,3.8
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,55,2024-06-27T04:32:54+09:00,0.1,91.0,2.8,,1011.0,17.0,55.0,1.1,21.5,2.8
"Alonsotegi, País Vasco, Spain",Pais_Vasco,53,2024-06-27T03:45:15+09:00,,83.0,4.6,,1011.5,17.0,53.0,,22.0,3.8
"Basauri, País Vasco, Spain",Pais_Vasco,50,2024-06-27T03:55:47+09:00,,55.0,4.6,,1011.0,19.0,50.0,1.6,22.7,2.7
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,46,2024-06-27T04:33:45+09:00,,91.0,3.7,34.2,1011.0,19.0,46.0,1.6,21.5,2.8
"Erandio, País Vasco, Spain",Pais_Vasco,46,2024-06-27T04:32:53+09:00,0.1,89.3,3.2,,1011.7,16.0,46.0,0.6,20.3,0.3
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,30,2024-06-27T03:45:14+09:00,,83.0,6.9,29.7,1011.5,22.0,,6.1,22.0,3.8
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,27,2024-06-27T04:33:50+09:00,,91.0,7.4,26.9,1011.0,20.0,,,21.5,2.8
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Ranilla, Sevilla, Spain",Andalucia,39,2024-06-27T04:32:52+09:00,4.0,66.3,7.4,35.8,1008.0,16.0,39.0,2.6,22.7,8.3
"Santa Clara, Sevilla, Spain",Andalucia,39,2024-06-27T04:33:50+09:00,4.0,66.7,2.3,35.8,1008.1,16.0,39.0,2.6,22.6,7.7
