names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,50,2024-06-30 17:16:19,0.1,47.6,2.3,34.2,1017.2,18.0,50.0,1.6,23.8,4.6,2024-06-30,17,tarde,Buena
"Castellana, Madrid, Spain",Madrid,50,2024-06-30 17:16:19,,44.5,2.3,,1017.2,18.0,50.0,,23.6,4.0,2024-06-30,17,tarde,Buena
"Sanchinarro, Madrid, Spain",Madrid,42,2024-06-30 17:16:19,,44.7,1.4,,1014.7,12.0,42.0,,24.5,2.7,2024-06-30,17,tarde,Buena
"Casa De Campo, Madrid, Spain",Madrid,37,2024-06-30 17:16:19,,44.5,1.0,37.4,1017.2,3.0,5.0,,23.6,4.0,2024-06-30,17,tarde,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,34,2024-06-30 17:16:19,0.1,44.5,2.8,34.2,1017.2,10.0,21.0,1.6,23.6,4.0,2024-06-30,17,tarde,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-06-30 17:16:19,,47.6,1.0,,1015.8,8.0,25.0,,23.8,4.6,2024-06-30,17,tarde,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-06-30 17:16:19,0.1,41.0,4.2,,1016.0,10.0,25.0,,25.0,2.8,2024-06-30,17,tarde,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,21,2024-06-30 17:16:19,,44.5,4.6,,1017.2,10.0,21.0,,23.6,4.0,2024-06-30,17,tarde,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,17,2024-06-30 17:16:19,,44.5,1.9,,1017.2,9.0,17.0,,23.6,4.0,2024-06-30,17,tarde,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,5,2024-06-30 17:16:19,,41.0,4.2,,1016.0,3.0,5.0,,25.0,2.8,2024-06-30,17,tarde,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-30 17:16:19,,88.0,,,1025.9,,,,7.7,1.7,2024-06-30,17,tarde,-
"el atazar, Madrid, Spain",Madrid,40,2024-06-30 17:16:19,,54.7,1.4,39.8,1017.2,8.0,34.0,1.1,22.9,0.4,2024-06-30,17,tarde,Buena
"algete, Madrid, Spain",Madrid,40,2024-06-30 17:16:19,,51.1,3.2,40.3,1014.9,,17.0,,24.5,3.6,2024-06-30,17,tarde,Buena
"alcorcón, Madrid, Spain",Madrid,32,2024-06-30 17:16:19,,41.0,1.0,31.7,1016.0,,25.0,,25.0,2.8,2024-06-30,17,tarde,Buena
